lsoa11cd,lsoa11nm,lsoa11_onsnm,lanm,imdrank,imddecile
W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey 007A,Isle of Anglesey,861,5
W01000002,Aberffraw & Rhosneigr 2,Isle of Anglesey 007B,Isle of Anglesey,1153,7
W01000003,Amlwch Port,Isle of Anglesey 001A,Isle of Anglesey,500,3
W01000004,Amlwch Rural,Isle of Anglesey 001B,Isle of Anglesey,1126,6
W01000005,Beaumaris,Isle of Anglesey 005A,Isle of Anglesey,1231,7
W01000006,Bodffordd,Isle of Anglesey 006A,Isle of Anglesey,933,5
W01000007,Bodorgan,Isle of Anglesey 009A,Isle of Anglesey,972,6
W01000008,Braint,Isle of Anglesey 008A,Isle of Anglesey,1781,10
W01000009,Bryngwran,Isle of Anglesey 007C,Isle of Anglesey,742,4
W01000010,Brynteg,Isle of Anglesey 002A,Isle of Anglesey,1485,8
W01000011,Cadnant (Isle of Anglesey),Isle of Anglesey 008B,Isle of Anglesey,1634,9
W01000012,Cefni,Isle of Anglesey 006B,Isle of Anglesey,1409,8
W01000013,Cwm Cadnant,Isle of Anglesey 005B,Isle of Anglesey,1673,9
W01000014,Cyngar,Isle of Anglesey 006C,Isle of Anglesey,1031,6
W01000015,Gwyngyll,Isle of Anglesey 008C,Isle of Anglesey,1733,10
W01000016,Holyhead Town,Isle of Anglesey 003A,Isle of Anglesey,209,2
W01000017,Kingsland,Isle of Anglesey 003B,Isle of Anglesey,326,2
W01000018,Llanbadrig,Isle of Anglesey 001C,Isle of Anglesey,980,6
W01000019,Llanbedrgoch,Isle of Anglesey 005C,Isle of Anglesey,1335,7
W01000020,Llanddyfnan,Isle of Anglesey 002B,Isle of Anglesey,1375,8
W01000021,Llaneilian,Isle of Anglesey 002C,Isle of Anglesey,969,6
W01000022,Llanfaethlu,Isle of Anglesey 004A,Isle of Anglesey,721,4
W01000023,Llanfair-yn-Neubwll 1,Isle of Anglesey 007D,Isle of Anglesey,873,5
W01000024,Llanfair-yn-Neubwll 2,Isle of Anglesey 007E,Isle of Anglesey,915,5
W01000025,Llanfihangel Ysgeifiog,Isle of Anglesey 009B,Isle of Anglesey,1115,6
W01000026,Llangoed,Isle of Anglesey 005D,Isle of Anglesey,943,5
W01000027,Llanidan,Isle of Anglesey 009C,Isle of Anglesey,1017,6
W01000028,Llannerch-y-medd,Isle of Anglesey 001D,Isle of Anglesey,640,4
W01000029,London Road,Isle of Anglesey 003C,Isle of Anglesey,238,2
W01000030,Maeshyfryd,Isle of Anglesey 003D,Isle of Anglesey,376,2
W01000031,Mechell,Isle of Anglesey 001E,Isle of Anglesey,852,5
W01000032,Moelfre,Isle of Anglesey 002D,Isle of Anglesey,941,5
W01000033,Morawelon,Isle of Anglesey 003E,Isle of Anglesey,168,1
W01000034,Parc a'r Mynydd,Isle of Anglesey 004B,Isle of Anglesey,1213,7
W01000035,Pentraeth,Isle of Anglesey 005E,Isle of Anglesey,1057,6
W01000036,Porthyfelin 1,Isle of Anglesey 003F,Isle of Anglesey,268,2
W01000037,Porthyfelin 2,Isle of Anglesey 003G,Isle of Anglesey,1018,6
W01000038,Rhosyr,Isle of Anglesey 009D,Isle of Anglesey,664,4
W01000039,Trearddur 1,Isle of Anglesey 004C,Isle of Anglesey,1312,7
W01000040,Trearddur 2,Isle of Anglesey 004D,Isle of Anglesey,1246,7
W01000041,Tudur,Isle of Anglesey 006D,Isle of Anglesey,262,2
W01000042,Tysilio,Isle of Anglesey 008D,Isle of Anglesey,1574,9
W01000043,Valley 1,Isle of Anglesey 004E,Isle of Anglesey,954,5
W01000044,Valley 2,Isle of Anglesey 004F,Isle of Anglesey,1739,10
W01000047,Abererch,Gwynedd 011A,Gwynedd,1145,6
W01000048,Abermaw 1,Gwynedd 016A,Gwynedd,811,5
W01000049,Abermaw 2,Gwynedd 016B,Gwynedd,1161,7
W01000050,Arllechwedd,Gwynedd 003A,Gwynedd,1045,6
W01000051,Bala,Gwynedd 015A,Gwynedd,1151,7
W01000052,Bethel & Cwm-y-Glo 1,Gwynedd 004A,Gwynedd,1573,9
W01000053,Bethel & Cwm-y-Glo 2,Gwynedd 004B,Gwynedd,1444,8
W01000054,Bontnewydd,Gwynedd 007A,Gwynedd,1489,8
W01000056,Bowydd and Rhiw,Gwynedd 009A,Gwynedd,635,4
W01000057,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,Gwynedd 016C,Gwynedd,1209,7
W01000059,Cadnant (Gwynedd),Gwynedd 006A,Gwynedd,386,3
W01000060,Corris/Mawddwy,Gwynedd 015B,Gwynedd,934,5
W01000061,Criccieth,Gwynedd 011B,Gwynedd,1685,9
