"","RC_ID","RC_Name","Classification","onlineExposure"
"1","RC_EW_10","Heliport Retail Park; Cornwall (South West; England)","Retail Park",-0.871493316120636
"2","RC_EW_1000","Thurmaston Shopping Park; Charnwood (East Midlands; England)","Retail Park",-0.861970710299007
"3","RC_EW_1004","Melton Road; Belgrave; Leicester (East Midlands; England)","Local Centre",-2.67189696030645
"4","RC_EW_101","Hessle Road; Dairycoates; City of Kingston upon Hull (Yorkshire and The Humber; England)","District Centre",-2.20498816061184
"5","RC_EW_1010","Belgrave Road; Belgrave; Leicester (East Midlands; England)","District Centre",-2.78162072449067
"6","RC_EW_1013","Beaumont Shopping Centre; Leicester (East Midlands; England)","Retail Park",-0.565207743619495
"7","RC_EW_1014","Leicester; Leicester (East Midlands; England)","Major Town Centre",-0.680336287489252
"8","RC_EW_102","St. Andrews Quay Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England)","Retail Park",-0.440256663272267
"9","RC_EW_1023","Nottingham; Nottingham (East Midlands; England)","Regional Centre",0.114446148171855
"10","RC_EW_1029","Lady Bay Retail Park; Nottingham (East Midlands; England)","Retail Park",0.487520895129364
"11","RC_EW_1032","West Bridgford; Rushcliffe (East Midlands; England)","Town Centre",1.22506955881589
"12","RC_EW_1035","Radford Road; Hyson Green; Nottingham (East Midlands; England)","District Centre",0.201923480214209
"13","RC_EW_1036","Alfreton Road; Radford; Nottingham (East Midlands; England)","Local Centre",0.506683398427361
"14","RC_EW_1037","Castle Retail Park; Nottingham (East Midlands; England)","Retail Park",-0.0500708909280377
"15","RC_EW_1039","Castle Marina Retail Park; Nottingham (East Midlands; England)","Retail Park",0.302092261389782
"16","RC_EW_1048","Mansfield Road; Carrington; Nottingham (East Midlands; England)","Local Centre",1.41811562043804
"17","RC_EW_1068","Beeston; Broxtowe (East Midlands; England)","Town Centre",0.751517205720558
"18","RC_EW_1074","Riverside Retail Park; Nottingham (East Midlands; England)","Retail Park",0.232546452770069
"19","RC_EW_1077","Arnold; Gedling (East Midlands; England)","Town Centre",-0.131564722723557
"20","RC_EW_1078","Madford Retail Park; Gedling (East Midlands; England)","Retail Park",-0.296418872287154
"21","RC_EW_1082","Victoria Retail Park; Gedling (East Midlands; England)","Retail Park",0.25648977020898
"22","RC_EW_1086","Main Street; Bulwell; Nottingham (East Midlands; England)","Local Centre",-1.57238190073069
"23","RC_EW_1087","Springfield Retail Park; Nottingham (East Midlands; England)","Retail Park",-0.551723489011911
"24","RC_EW_109","Willerby Shopping Park; East Riding of Yorkshire (Yorkshire and The Humber; England)","Retail Park",-0.255250132693966
"25","RC_EW_1090","Ashgate Retail Park; Ashfield (East Midlands; England)","Retail Park",-0.641107216206553
"26","RC_EW_1091","Kettering; Kettering (East Midlands; England)","Town Centre",-0.20087762861625
"27","RC_EW_1096","Corby; Corby (East Midlands; England)","Town Centre",-1.07189081760733
"28","RC_EW_11","Penzance; Cornwall (South West; England)","Town Centre",-1.04832588058126
"29","RC_EW_1103","Phoenix Parkway Retail Park; Corby (East Midlands; England)","Retail Park",-0.913540195358309
"30","RC_EW_1107","Rushden; East Northamptonshire (East Midlands; England)","Town Centre",-0.100897565957777
"31","RC_EW_111","Anlaby Retail Park; East Riding of Yorkshire (Yorkshire and The Humber; England)","Retail Park",-0.532000801572396
"32","RC_EW_1112","Kettering Retail Park; Kettering (East Midlands; England)","Retail Park",-0.212084052618924
"33","RC_EW_1114","Wellingborough; Wellingborough (East Midlands; England)","Town Centre",-0.618155489940658
"34","RC_EW_1115","Castlefields Retail Park; Wellingborough (East Midlands; England)","Retail Park",-0.163878881788527
"35","RC_EW_1118","Market Harborough; Harborough (East Midlands; England)","Town Centre",0.4593915894402
"36","RC_EW_1119","Weston Favell Shopping Centre; Northampton (East Midlands; England)","Retail Park",0.149265549076383
"37","RC_EW_1122","Oakham; Rutland (East Midlands; England)","Town Centre",0.172932062574146
"38","RC_EW_1125","Boston; Boston (East Midlands; England)","Town Centre",-1.18671280059091
"39","RC_EW_113","Hallgate; Cottingham; East Riding of Yorkshire (Yorkshire and The Humber; England)","Local Centre",0.0586159790923571
"40","RC_EW_1134","Belgrave Retail Park; Fenland (East of England; England)","Retail Park",-1.030131516234
"41","RC_EW_1135","Wisbech; Fenland (East of England; England)","Town Centre",-1.16317624428907
"42","RC_EW_1139","High Street; March; Fenland (East of England; England)","Local Centre",-1.07370862377409
"43","RC_EW_1140","Campbells Meadow Retail Park; King's Lynn and West Norfolk (East of England; England)","Retail Park",-0.719800998300768
"44","RC_EW_1141","King's Lynn; King's Lynn and West Norfolk (East of England; England)","Major Town Centre",-0.773520184427056
"45","RC_EW_1144","St. Nicholas Retail Park; King's Lynn and West Norfolk (East of England; England)","Retail Park",-0.773520184427056
"46","RC_EW_1145","High Street; Downham Market; King's Lynn and West Norfolk (East of England; England)","Local Centre",-1.89758147639617
"47","RC_EW_1149","Southgate; Sleaford; North Kesteven (East Midlands; England) - 1","Local Centre",-0.189406748609501
"48","RC_EW_1151","Newark-on-Trent; Newark and Sherwood (East Midlands; England)","Town Centre",-0.63254892128394
"49","RC_EW_1152","Grantham; South Kesteven (East Midlands; England)","Market Town",-0.51306391777792
"50","RC_EW_1156","Lincoln; Lincoln (East Midlands; England)","Major Town Centre",0.18375914547919
"51","RC_EW_116","Hull; Kingston upon Hull (Yorkshire and The Humber; England)","Major Town Centre",-0.918536535192344
"52","RC_EW_1162","Tritton Retail Park; Lincoln (East Midlands; England)","Retail Park",0.154961775619665
"53","RC_EW_1163","High Street; St Catherines; Lincoln (East Midlands; England)","District Centre",1.19212022875072
"54","RC_EW_117","Newland Avenue; Newland; City of Kingston upon Hull (Yorkshire and The Humber; England)","District Centre",1.26074896138088
"55","RC_EW_1170","Parkway Shopping Centre; Middlesbrough (North East; England)","Retail Park",-0.826604257123614
"56","RC_EW_1172","Westgate; Guisborough; Redcar and Cleveland (North East; England)","Market Town",-0.723705447056246
"57","RC_EW_1176","Whitby; Scarborough (Yorkshire and The Humber; England)","Market Town",-1.21077189303968
"58","RC_EW_1177","Church Street; Whitby; Scarborough (Yorkshire and The Humber; England)","Local Centre",-1.17022424479974
"59","RC_EW_1178","Redcar; Redcar and Cleveland (North East; England)","Town Centre",-0.752979170947204
"60","RC_EW_1183","Middle Street South; Driffield; East Riding of Yorkshire (Yorkshire and The Humber; England)","Market Town",-0.498431516311506
"61","RC_EW_1185","Malton; Ryedale (Yorkshire and The Humber; England)","Town Centre",-0.49812630785657
"62","RC_EW_1186","Seamer Road Retail Park; Scarborough (Yorkshire and The Humber; England)","Retail Park",-0.912239942067313
"63","RC_EW_1188","Market Place; Pickering; Ryedale (Yorkshire and The Humber; England)","Local Centre",-1.10510868952277
"64","RC_EW_1197","High Street; Yarm; Stockton-on-Tees (North East; England)","Local Centre",0.668003941657662
"65","RC_EW_1200","Teesside Retail Park; Stockton-on-Tees (North East; England)","Retail Park",-0.751170583662848
"66","RC_EW_1201","Pavilion Shopping Centre; Stockton-on-Tees (North East; England)","Retail Park",-0.679077506977193
"67","RC_EW_1203","Bishop Auckland Shopping Park; County Durham (North East; England)","Retail Park",-0.971804246738575
"68","RC_EW_1205","Bishop Auckland; County Durham (North East; England)","Town Centre",-1.12782143585967
"69","RC_EW_1209","Darlington; Darlington (North East; England)","Major Town Centre",-0.516455703859003
"70","RC_EW_121","Kingswood Leisure Park; City of Kingston upon Hull (Yorkshire and The Humber; England)","Retail Park",-0.712052845974797
"71","RC_EW_1217","Yoden Way; Peterlee; County Durham (North East; England)","Local Centre",-1.68619414774453
"72","RC_EW_122","North Point Shopping Centre; City of Kingston upon Hull (Yorkshire and The Humber; England)","Retail Park",-0.92899046048054
"73","RC_EW_1230","Middlesbrough; Middlesbrough (North East; England)","Major Town Centre",-0.81606953928445
"74","RC_EW_1232","Cleveland Retail Park; Redcar and Cleveland (North East; England)","Retail Park",-1.1844750810715
"75","RC_EW_1233","Stockton-on-Tees; Stockton-on-Tees (North East; England)","Town Centre",-0.681530618049968
"76","RC_EW_1234","Portrack Interchange Retail Park; Stockton-on-Tees (North East; England)","Retail Park",-0.771405199596977
"77","RC_EW_1245","Teesbay Retail Park; Hartlepool (North East; England)","Retail Park",-1.05538906920163
"78","RC_EW_1247","Hartlepool; Hartlepool (North East; England)","Town Centre",-1.29049658162062
"79","RC_EW_125","Holderness Road; Wilmington; City of Kingston upon Hull (Yorkshire and The Humber; England)","Local Centre",-1.3049778653009
"80","RC_EW_1252","High Street; Spennymoor; County Durham (North East; England)","Market Town",-1.2714513921933
"81","RC_EW_1253","Hope Street; Crook; County Durham (North East; England)","Local Centre",-1.16292993421988
"82","RC_EW_1257","Durham; County Durham (North East; England)","Town Centre",0.914556057588709
"83","RC_EW_1262","Market Place; Thirsk; Hambleton (Yorkshire and The Humber; England)","Local Centre",-0.325020876855318
"84","RC_EW_1268","Northallerton; Hambleton (Yorkshire and The Humber; England)","Town Centre",-0.312119119823044
"85","RC_EW_127","Kingston Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England)","Retail Park",-0.851079190788369
"86","RC_EW_1272","Filey; Scarborough (Yorkshire and The Humber; England)","Local Centre",-1.45071723236463
"87","RC_EW_1274","Scarborough; Scarborough (Yorkshire and The Humber; England)","Major Town Centre",-0.908175010530809
"88","RC_EW_1279","Byron Place; County Durham (North East; England)","Retail Park",-1.02596966196192
"89","RC_EW_1290","Dalton Park Outlet; County Durham (North East; England)","Out of Town Shopping Centres",-1.03963135395919
"90","RC_EW_1293","Sunderland; Sunderland (North East; England)","Major Town Centre",-1.00022400801374
"91","RC_EW_1300","Anchor Retail Park; Hartlepool (North East; England)","Retail Park",-1.09243227113785
"92","RC_EW_1304","High Street; Hythe; Folkestone and Hythe (South East; England)","District Centre",-1.02060771430936
"93","RC_EW_1306","Cheriton High Street; Morehall; Folkestone and Hythe (South East; England)","Local Centre",-0.477548297189513
"94","RC_EW_1309","Folkestone; Folkestone and Hythe (South East; England)","Town Centre",-0.606497144395529
"95","RC_EW_1311","Ashford; Ashford (South East; England)","Town Centre",-0.248950180220629
"96","RC_EW_1312","Ashford Designer Outlet; Ashford (South East; England)","Out of Town Shopping Centres",-0.0488992578928834
"97","RC_EW_1313","Ashford Retail Park; Ashford (South East; England)","Retail Park",-0.0411675552893797
"98","RC_EW_1314","Orbital Retail Park; Ashford (South East; England)","Retail Park",0.00523568699736848
"99","RC_EW_1317","Riverside Retail Park; Canterbury (South East; England)","Retail Park",0.840480536109757
"100","RC_EW_1318","Canterbury; Canterbury (South East; England)","Major Town Centre",1.00227638954085
"101","RC_EW_1320","Stour Retail Park; Canterbury (South East; England)","Retail Park",1.15388406442543
"102","RC_EW_1323","Dover; Dover (South East; England)","Town Centre",-0.916173405878502
"103","RC_EW_1324","Preston Street; Faversham; Swale (South East; England)","Market Town",-0.216773907974482
"104","RC_EW_1325","Northdown Road; Cliftonville; Thanet (South East; England)","District Centre",-1.80418358387503
"105","RC_EW_1328","High Street; Broadstairs; Thanet (South East; England)","District Centre",-0.445488492741514
"106","RC_EW_1329","Ramsgate; Thanet (South East; England)","Town Centre",-0.737028094182052
"107","RC_EW_1330","Dumpton Park Drive; Ramsgate; Thanet (South East; England)","District Centre",-0.830392823321679
"108","RC_EW_1332","High Street; Margate; Thanet (South East; England)","District Centre",-1.64251536377647
"109","RC_EW_1335","Margate Road; Westwood; Thanet (South East; England)","Local Centre",-1.25756981601931
"110","RC_EW_1339","Herne Bay; Canterbury (South East; England)","Town Centre",-0.601275348316328
"111","RC_EW_1343","High Street; Deal; Dover (South East; England)","Market Town",-0.538713621751419
"112","RC_EW_1346","Uckfield; Wealden (South East; England)","Town Centre",0.700449914403062
"113","RC_EW_1348","Lewes; Lewes (South East; England)","Town Centre",0.572590816285605
"114","RC_EW_1358","Eastbourne; Eastbourne (South East; England)","Major Town Centre",-0.407597292849776
"115","RC_EW_1363","High Street; Hailsham; Wealden (South East; England)","Market Town",-0.919269295930714
"116","RC_EW_1364","Langney Shopping Centre; Eastbourne (South East; England)","Retail Park",-0.471506016757229
"117","RC_EW_1365","Sovereign Harbour Retail Park; Eastbourne (South East; England)","Retail Park",-0.437329504570464
"118","RC_EW_1370","Burgess Hill; Mid Sussex (South East; England)","Market Town",0.401023780399363
"119","RC_EW_1372","South Road; Haywards Heath; Mid Sussex (South East; England)","Market Town",0.934896199741109
"120","RC_EW_1379","Brighton and Hove; Brighton and Hove (South East; England)","Regional Centre",1.44494523791247
"121","RC_EW_1385","Brighton Marina; Brighton and Hove (South East; England)","Retail Park",1.44526350080963
"122","RC_EW_1388","Seaford; Lewes (South East; England)","Market Town",-0.530985127861666
"123","RC_EW_1391","Fernbank Shopping Centre; Wealden (South East; England)","Retail Park",0.358625045400656
"124","RC_EW_1396","Royal Tunbridge Wells; Tunbridge Wells (South East; England)","Major Town Centre",0.819417036446902
"125","RC_EW_1397","High Street; Heathfield; Wealden (South East; England)","Local Centre",0.502367000015481
"126","RC_EW_140","Victoria Retail Park; East Riding of Yorkshire (Yorkshire and The Humber; England)","Retail Park",-0.35220705349852
"127","RC_EW_1404","East Grinstead; Mid Sussex (South East; England)","Town Centre",0.625647228077547
"128","RC_EW_1409","Lyons Farm Retail Park; Worthing (South East; England)","Retail Park",-0.149343418230109
"129","RC_EW_141","Beverley; East Riding of Yorkshire (Yorkshire and The Humber; England)","Town Centre",0.500701871128739
"130","RC_EW_1414","North Street; Midhurst; Chichester (South East; England)","Local Centre",-0.0198372480711396
"131","RC_EW_1416","High Street; Haslemere; Waverley (South East; England)","Local Centre",0.713350438225807
"132","RC_EW_1422","High Street; Arundel; Arun (South East; England)","Local Centre",0.501444429389586
"133","RC_EW_1430","Dorking; Mole Valley (South East; England)","Town Centre",0.955554475208317
"134","RC_EW_1431","Horsham; Horsham (South East; England)","Town Centre",0.702933705168863
"135","RC_EW_1436","High Street; Godalming; Waverley (South East; England)","Market Town",1.36193605343065
"136","RC_EW_1442","Goldstone Retail Park; Brighton and Hove (South East; England)","Retail Park",1.5802525071024
"137","RC_EW_1446","Hove; Brighton and Hove (South East; England)","Town Centre",2.08011225498505
"138","RC_EW_1447","Portland Road; Aldrington; Brighton and Hove (South East; England)","Local Centre",1.7374310739425
"139","RC_EW_1451","Boundary Road; Southern Cross; Brighton and Hove (South East; England)","Local Centre",0.518320594684934
"140","RC_EW_1459","London Road; Round Hill; Brighton and Hove (South East; England)","District Centre",2.84813687789099
"141","RC_EW_1463","High Street; Shoreham-by-Sea; Adur (South East; England)","District Centre",0.080515646464029
"142","RC_EW_1467","High Street; Littlehampton; Arun (South East; England)","District Centre",-0.9835944502947
"143","RC_EW_1475","Worthing; Worthing (South East; England)","Major Town Centre",-0.148239713386909
"144","RC_EW_1476","Tarring Road; Worthing; Worthing (South East; England)","Local Centre",0.259195591016083
"145","RC_EW_1487","Maidstone; Maidstone (South East; England)","Major Town Centre",0.1576311780724
"146","RC_EW_1488","Mid Kent Shopping Centre; Maidstone (South East; England)","Retail Park",0.226699672950931
"147","RC_EW_1490","South Aylesford Retail Park; Tonbridge and Malling (South East; England)","Retail Park",0.331853508261082
"148","RC_EW_1492","High Street; West Malling; Tonbridge and Malling (South East; England)","Local Centre",0.463517652322659
"149","RC_EW_1494","High Street; Tenterden; Ashford (South East; England)","Local Centre",-0.432083993296592
"150","RC_EW_1496","Tonbridge; Tonbridge and Malling (South East; England)","Town Centre",0.443183961229096
"151","RC_EW_1502","Longfield Road Retail Park; Tunbridge Wells (South East; England)","Retail Park",0.751693406438445
"152","RC_EW_1506","Sevenoaks; Sevenoaks (South East; England)","Town Centre",1.21544868737011
"153","RC_EW_1511","Hempstead Valley Shopping Centre; Medway (South East; England)","Retail Park",0.0723505708602888
"154","RC_EW_1512","Horsted Retail Park; Medway (South East; England)","Retail Park",0.167562431260398
"155","RC_EW_1521","Chatham; Medway (South East; England)","Town Centre",-0.0754027631861698
"156","RC_EW_1528","High Street; Brompton; Medway (South East; England)","District Centre",0.113091741044295
"157","RC_EW_1529","Chatham Dockside Outlet Centre; Medway (South East; England)","Out of Town Shopping Centres",-0.00463085361079159
"158","RC_EW_1530","High Street; Strood; Medway (South East; England)","Local Centre",0.0270426731040725
"159","RC_EW_1532","High Street; Rochester; Medway (South East; England)","District Centre",0.0700433741708296
"160","RC_EW_1542","Hastings; Hastings (South East; England)","Major Town Centre",-0.649312360818505
"161","RC_EW_1545","Kings Road; St Leonards-on-Sea; Hastings (South East; England)","District Centre",-0.548723017225605
"162","RC_EW_1553","Bexhill-on-Sea; Rother (South East; England)","Town Centre",-1.19591544913104
"163","RC_EW_1558","Ravenside Retail & Leisure Park; Rother (South East; England)","Retail Park",-0.787075265669749
"164","RC_EW_156","High Street; Horncastle; East Lindsey (East Midlands; England)","Local Centre",-1.05083652415624
"165","RC_EW_1561","High Street; Rye; Rother (South East; England)","Market Town",-1.79853203825949
"166","RC_EW_1563","High Street; Battle; Rother (South East; England)","Local Centre",-0.434719509605458
"167","RC_EW_1566","Brighton Road; Coulsdon; Croydon (London; England)","Local Centre",0.867712406861541
"168","RC_EW_1570","Brighton Road; Purley; Croydon (London; England)","Local Centre",1.08265418127461
"169","RC_EW_1574","Caterham; Tandridge (South East; England)","Town Centre",0.663728045701471
"170","RC_EW_1578","High Street; Banstead; Reigate and Banstead (South East; England)","Local Centre",0.495873972032913
"171","RC_EW_1581","The Broadway; Cheam; Sutton (London; England)","Local Centre",1.13175981638123
"172","RC_EW_1583","Sutton; Sutton (London; England)","Major Town Centre",0.579646862763053
"173","RC_EW_1593","Croydon; London (London; England)","Major Town Centre",0.459207402491811
"174","RC_EW_16","Liskeard; Cornwall (South West; England)","Local Centre",-0.440586564434414
"175","RC_EW_161","St Peters Avenue; Cleethorpes; North East Lincolnshire (Yorkshire and The Humber; England)","District Centre",-1.12332565506292
"176","RC_EW_1620","Stafford Road; Wallington Square; Sutton (London; England)","Local Centre",0.380140577921472
"177","RC_EW_163","Grimsby; North East Lincolnshire (Yorkshire and The Humber; England)","Town Centre",-1.11542321138309
"178","RC_EW_1635","London Road; Mitcham; Merton (London; England) - 1","Local Centre",-0.481197985134645
"179","RC_EW_1637","Valley Leisure Park; Croydon (London; England)","Retail Park",0.325477609700393
"180","RC_EW_1638","Purley Way Centre; Croydon (London; England)","Retail Park",0.451477551869143
"181","RC_EW_1641","London Road; Morden; Merton (London; England)","District Centre",1.65421550176317
"182","RC_EW_1647","Station Road East; Oxted; Tandridge (South East; England)","Local Centre",0.996354611940385
"183","RC_EW_1648","High Street; Leatherhead; Mole Valley (South East; England)","Local Centre",0.824140693923509
"184","RC_EW_1652","High Street; Cobham; Elmbridge (South East; England)","Local Centre",1.15077297498364
"185","RC_EW_1658","Epsom; Epsom and Ewell (South East; England)","Town Centre",1.09148853368085
"186","RC_EW_167","Freeman Street; East Marsh; North East Lincolnshire (Yorkshire and The Humber; England)","District Centre",-1.7287120499688
"187","RC_EW_1678","Walton-on-Thames; Elmbridge (South East; England)","Town Centre",0.968631152579257
"188","RC_EW_1680","County Oak Retail Park; Crawley (South East; England)","Retail Park",0.2182705776419
"189","RC_EW_1683","Crawley; Crawley (South East; England)","Town Centre",-0.321902583982835
"190","RC_EW_1688","Brighton Road Retail Park; Reigate and Banstead (South East; England)","Retail Park",0.875075287402448
"191","RC_EW_1693","High Street; Redhill; Reigate and Banstead (South East; England)","District Centre",1.2749388247632
"192","RC_EW_1699","Reigate; Reigate and Banstead (South East; England)","Town Centre",0.979442087037988
"193","RC_EW_171","Louth; East Lindsey (East Midlands; England)","Town Centre",-0.751131237543936
