"","RC_ID","RC_Name","Classification","deprivationExposure"
"1","RC_EW_2264","High Street; Sheerness; Swale (South East; England)","Market Town",1
"2","RC_EW_2813","County Road; Walton; Liverpool (North West; England)","District Centre",1
"3","RC_EW_3538","West Street; Newtown; City of Bristol (South West; England)","Local Centre",1
"4","RC_EW_4300","Star City Leisure Park; Birmingham (West Midlands; England)","Small Retail Park",1
"5","RC_EW_97","High Street; Mablethorpe; East Lindsey (East Midlands; England)","District Centre",1
"6","RC_EW_793","Harehills Lane; Harehills; Leeds (Yorkshire and The Humber; England)","Local Centre",0.989656958987784
"7","RC_EW_4317","Alum Rock Road; Saltley; Birmingham (West Midlands; England)","District Centre",0.988418272858221
"8","RC_EW_4341","Vyse Street; Hockley; Birmingham (West Midlands; England)","District Centre",0.988021413049239
"9","RC_EW_4316","Coventry Road; Sparkbrook; Birmingham (West Midlands; England)","District Centre",0.98689157435381
"10","RC_EW_4553","Stratford Road; Showell Green; Birmingham (West Midlands; England)","District Centre",0.986874419932891
"11","RC_EW_4356","Soho Road; Gib Heath; Birmingham (West Midlands; England)","District Centre",0.983011385441986
"12","RC_EW_2829","Stanley Road; Bootle; Sefton (North West; England)","District Centre",0.981052322594848
"13","RC_EW_512","Attercliffe Road; Attercliffe; Sheffield (Yorkshire and The Humber; England)","Local Centre",0.973502635361763
"14","RC_EW_4554","Ladypool Road; Balsall Heath; Birmingham (West Midlands; England)","District Centre",0.965563482430952
"15","RC_EW_167","Freeman Street; East Marsh; North East Lincolnshire (Yorkshire and The Humber; England)","District Centre",0.963451612903226
"16","RC_EW_4656","Normanton Road; Rose Hill; Derby (East Midlands; England)","District Centre",0.950853624405262
"17","RC_EW_2794","Prescot Road; Kensington; Liverpool (North West; England)","Local Centre",0.946238609350238
"18","RC_EW_4521","Greenwood Way; Fordbridge; Solihull (West Midlands; England)","Local Centre",0.946149780452106
"19","RC_EW_101","Hessle Road; Dairycoates; City of Kingston upon Hull (Yorkshire and The Humber; England)","District Centre",0.94338490685191
"20","RC_EW_3699","Clifton Street; Splott; Cardiff (Wales)","Local Centre",0.939061341734618
"21","RC_EW_577","Bury Old Road; Crumpsall; Manchester (North West; England)","District Centre",0.935498752393663
"22","RC_EW_4286","High Street; Erdington; Birmingham (West Midlands; England)","District Centre",0.930285829442784
"23","RC_EW_658","Manchester Road; Nelson; Pendle (North West; England)","Local Centre",0.92903583448822
"24","RC_EW_4449","Bilston; Wolverhampton (West Midlands; England)","District Centre",0.926847604485219
"25","RC_EW_826","Town Street; Carr Crofts; Leeds (Yorkshire and The Humber; England)","Local Centre",0.925889775026783
"26","RC_EW_583","Manchester Fort Shopping Park; Manchester (North West; England)","Small Retail Park",0.922406173433171
"27","RC_EW_1217","Yoden Way; Peterlee; County Durham (North East; England)","Local Centre",0.922344089439941
"28","RC_EW_3142","Derby Street; Willows; Bolton (North West; England)","District Centre",0.921710509786186
"29","RC_EW_4826","Waterloo Road; Burslem; Stoke-on-Trent (West Midlands; England)","District Centre",0.920528220240982
"30","RC_EW_4455","High Street; Mayer's Green; Sandwell (West Midlands; England) - 1","Local Centre",0.919326642926513
"31","RC_EW_4264","High Street; Bloxwich; Walsall (West Midlands; England)","Local Centre",0.918596341528452
"32","RC_EW_3115","Market Street; Farnworth; Bolton (North West; England)","District Centre",0.916698702546852
"33","RC_EW_3244","Stockport Road; Longsight; Manchester (North West; England)","Local Centre",0.912952258616998
"34","RC_EW_4358","The Fiveways Shopping Centre; Birmingham (West Midlands; England)","Small Retail Park",0.911052175348799
"35","RC_EW_2451","Fore Street; Upper Edmonton; Enfield (London; England)","District Centre",0.911040527896784
"36","RC_EW_3007","Lytham Road; South Shore; Blackpool (North West; England)","District Centre",0.910847107438017
"37","RC_SC_75","Gallowgate; Camlachie; Glasgow City (Scotland)","Local Centre",0.909940718911695
"38","RC_EW_1332","High Street; Margate; Thanet (South East; England)","District Centre",0.907458352992415
"39","RC_EW_3405","Morecambe; Lancaster (North West; England)","District Centre",0.905146993119471
"40","RC_EW_231","London Road North; Lowestoft; East Suffolk (East of England; England)","Market Town",0.902830510401273
