"","RC_ID","RC_Name","Classification","imdAverage","imdNational","incomeAverage","incomeNational","employmentAverage","employmentNational","healthAverage","healthNational","educationAverage","educationNational","barriersAverage","barriersNational","crimeAverage","crimeNational","environmentAverage","environmentNational"
"1","RC_EW_10","Heliport Retail Park; Cornwall (South West; England)","Small Retail Park",34.4130769230769,"MORE DEPRIVED",0.210846153846154,"MORE DEPRIVED",0.171461538461538,"MORE DEPRIVED",0.499692307692308,"MORE DEPRIVED",22.5643076923077,"MORE DEPRIVED",21.6280769230769,"LESS DEPRIVED",-0.172461538461538,"LESS DEPRIVED",48.0573846153846,"MORE DEPRIVED"
"2","RC_EW_1000","Thurmaston Shopping Park; Charnwood (East Midlands; England)","Small Retail Park",21.199175,"LESS DEPRIVED",0.14275,"MORE DEPRIVED",0.0961875,"LESS DEPRIVED",-0.0035375,"LESS DEPRIVED",28.6476375,"MORE DEPRIVED",15.6170375,"LESS DEPRIVED",0.065325,"MORE DEPRIVED",18.4489,"LESS DEPRIVED"
"3","RC_EW_1004","Melton Road; Belgrave; Leicester (East Midlands; England)","Local Centre",26.475625,"MORE DEPRIVED",0.2016875,"MORE DEPRIVED",0.111375,"MORE DEPRIVED",0.2023125,"MORE DEPRIVED",37.5196875,"MORE DEPRIVED",15.4506875,"LESS DEPRIVED",-0.0305,"LESS DEPRIVED",25.982625,"MORE DEPRIVED"
"4","RC_EW_101","Hessle Road; Dairycoates; City of Kingston upon Hull (Yorkshire and The Humber; England)","District Centre",56.7374545454545,"MORE DEPRIVED",0.317363636363636,"MORE DEPRIVED",0.222272727272727,"MORE DEPRIVED",1.39518181818182,"MORE DEPRIVED",58.995,"MORE DEPRIVED",20.8542727272727,"LESS DEPRIVED",1.31463636363636,"MORE DEPRIVED",43.4733636363636,"MORE DEPRIVED"
"5","RC_EW_1010","Belgrave Road; Belgrave; Leicester (East Midlands; England)","District Centre",28.465,"MORE DEPRIVED",0.2248,"MORE DEPRIVED",0.1163,"MORE DEPRIVED",0.272,"MORE DEPRIVED",41.9032,"MORE DEPRIVED",16.1371,"LESS DEPRIVED",-0.2519,"LESS DEPRIVED",26.6313,"MORE DEPRIVED"
"6","RC_EW_1013","Beaumont Shopping Centre; Leicester (East Midlands; England)","Large Retail Park",24.1832094594595,"MORE DEPRIVED",0.154445945945946,"MORE DEPRIVED",0.104641891891892,"MORE DEPRIVED",0.139581081081081,"MORE DEPRIVED",30.2878108108108,"MORE DEPRIVED",15.3887364864865,"LESS DEPRIVED",0.285162162162162,"MORE DEPRIVED",20.3813175675676,"LESS DEPRIVED"
"7","RC_EW_1014","Leicester; Leicester (East Midlands; England)","Major Town Centre",27.2438795811518,"MORE DEPRIVED",0.17617277486911,"MORE DEPRIVED",0.111952879581152,"MORE DEPRIVED",0.33744502617801,"MORE DEPRIVED",33.4235654450262,"MORE DEPRIVED",15.2161884816754,"LESS DEPRIVED",0.381696335078534,"MORE DEPRIVED",24.4925654450262,"MORE DEPRIVED"
"8","RC_EW_102","St. Andrews Quay Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England)","Small Retail Park",38.5901764705882,"MORE DEPRIVED",0.220941176470588,"MORE DEPRIVED",0.166,"MORE DEPRIVED",0.702970588235294,"MORE DEPRIVED",38.7722647058823,"MORE DEPRIVED",17.7875882352941,"LESS DEPRIVED",0.787676470588235,"MORE DEPRIVED",34.3752352941176,"MORE DEPRIVED"
"9","RC_EW_1023","Nottingham; Nottingham (East Midlands; England)","Regional Centre",24.0313444444444,"MORE DEPRIVED",0.149985185185185,"MORE DEPRIVED",0.115896296296296,"MORE DEPRIVED",0.186262962962963,"MORE DEPRIVED",25.5626592592593,"MORE DEPRIVED",17.5045037037037,"LESS DEPRIVED",-0.0428407407407407,"LESS DEPRIVED",22.1818074074074,"MORE DEPRIVED"
"10","RC_EW_1029","Lady Bay Retail Park; Nottingham (East Midlands; England)","Small Retail Park",22.9870441176471,"MORE DEPRIVED",0.148161764705882,"MORE DEPRIVED",0.112,"MORE DEPRIVED",0.04475,"MORE DEPRIVED",22.7872647058824,"MORE DEPRIVED",16.1549705882353,"LESS DEPRIVED",-0.0864705882352941,"LESS DEPRIVED",24.0361617647059,"MORE DEPRIVED"
"11","RC_EW_1032","West Bridgford; Rushcliffe (East Midlands; England)","Town Centre",16.2358,"LESS DEPRIVED",0.112225,"LESS DEPRIVED",0.084775,"LESS DEPRIVED",-0.394025,"LESS DEPRIVED",13.605875,"LESS DEPRIVED",15.59485,"LESS DEPRIVED",-0.394725,"LESS DEPRIVED",20.493225,"LESS DEPRIVED"
"12","RC_EW_1035","Radford Road; Hyson Green; Nottingham (East Midlands; England)","District Centre",43.1602105263158,"MORE DEPRIVED",0.244315789473684,"MORE DEPRIVED",0.167421052631579,"MORE DEPRIVED",1.07178947368421,"MORE DEPRIVED",42.4374736842105,"MORE DEPRIVED",24.3245263157895,"MORE DEPRIVED",1.03673684210526,"MORE DEPRIVED",38.9069473684211,"MORE DEPRIVED"
"13","RC_EW_1036","Alfreton Road; Radford; Nottingham (East Midlands; England)","Local Centre",40.3685333333333,"MORE DEPRIVED",0.2008,"MORE DEPRIVED",0.138466666666667,"MORE DEPRIVED",1.27733333333333,"MORE DEPRIVED",44.3081333333333,"MORE DEPRIVED",25.5396,"MORE DEPRIVED",0.892933333333333,"MORE DEPRIVED",38.3374666666667,"MORE DEPRIVED"
"14","RC_EW_1037","Castle Retail Park; Nottingham (East Midlands; England)","Small Retail Park",35.0975161290323,"MORE DEPRIVED",0.199709677419355,"MORE DEPRIVED",0.142048387096774,"MORE DEPRIVED",0.878677419354839,"MORE DEPRIVED",34.3991774193548,"MORE DEPRIVED",22.9408709677419,"MORE DEPRIVED",0.595951612903226,"MORE DEPRIVED",34.2749032258065,"MORE DEPRIVED"
"15","RC_EW_1039","Castle Marina Retail Park; Nottingham (East Midlands; England)","Small Retail Park",30.24324,"MORE DEPRIVED",0.17032,"MORE DEPRIVED",0.11796,"MORE DEPRIVED",0.65092,"MORE DEPRIVED",31.29938,"MORE DEPRIVED",22.37412,"MORE DEPRIVED",0.22724,"MORE DEPRIVED",32.33072,"MORE DEPRIVED"
"16","RC_EW_1048","Mansfield Road; Carrington; Nottingham (East Midlands; England)","Local Centre",22.3386666666667,"MORE DEPRIVED",0.128111111111111,"LESS DEPRIVED",0.104944444444444,"MORE DEPRIVED",0.436111111111111,"MORE DEPRIVED",12.5908333333333,"LESS DEPRIVED",17.4150555555556,"LESS DEPRIVED",0.281944444444444,"MORE DEPRIVED",33.7353888888889,"MORE DEPRIVED"
"17","RC_EW_1068","Beeston; Broxtowe (East Midlands; England)","Town Centre",14.85582,"LESS DEPRIVED",0.09768,"LESS DEPRIVED",0.07928,"LESS DEPRIVED",-0.17138,"LESS DEPRIVED",15.51088,"LESS DEPRIVED",13.74224,"LESS DEPRIVED",-0.39334,"LESS DEPRIVED",20.39798,"LESS DEPRIVED"
