"","RC_ID","RC_Name","Region","Country","AverageIMD","IMDRegional","diff_IMDRegional","r_IMDRegional","IMDNational","diff_IMDNational","r_IMDNational"
"1","RC_EW_10","Heliport Retail Park; Cornwall (South West; England)","South West","England",34.4130769230769,18.2526558975922,16.1604210254847,"MORE DEPRIVED",21.6693926135672,12.7436843095098,"MORE DEPRIVED"
"2","RC_EW_1000","Thurmaston Shopping Park; Charnwood (East Midlands; England)","East Midlands","England",21.199175,20.3604206921413,0.838754307858689,"MORE DEPRIVED",21.6693926135672,-0.470217613567165,"LESS DEPRIVED"
"3","RC_EW_1004","Melton Road; Belgrave; Leicester (East Midlands; England)","East Midlands","England",26.475625,20.3604206921413,6.11520430785869,"MORE DEPRIVED",21.6693926135672,4.80623238643284,"MORE DEPRIVED"
"4","RC_EW_101","Hessle Road; Dairycoates; City of Kingston upon Hull (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",56.7374545454545,26.0016062707266,30.735848274728,"MORE DEPRIVED",21.6693926135672,35.0680619318874,"MORE DEPRIVED"
"5","RC_EW_1010","Belgrave Road; Belgrave; Leicester (East Midlands; England)","East Midlands","England",28.465,20.3604206921413,8.10457930785869,"MORE DEPRIVED",21.6693926135672,6.79560738643283,"MORE DEPRIVED"
"6","RC_EW_1013","Beaumont Shopping Centre; Leicester (East Midlands; England)","East Midlands","England",24.1832094594595,20.3604206921413,3.82278876731815,"MORE DEPRIVED",21.6693926135672,2.51381684589229,"MORE DEPRIVED"
"7","RC_EW_1014","Leicester; Leicester (East Midlands; England)","East Midlands","England",27.2438795811518,20.3604206921413,6.88345888901052,"MORE DEPRIVED",21.6693926135672,5.57448696758467,"MORE DEPRIVED"
"8","RC_EW_102","St. Andrews Quay Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",38.5901764705882,26.0016062707266,12.5885701998617,"MORE DEPRIVED",21.6693926135672,16.9207838570211,"MORE DEPRIVED"
"9","RC_EW_1023","Nottingham; Nottingham (East Midlands; England)","East Midlands","England",24.0313444444444,20.3604206921413,3.67092375230313,"MORE DEPRIVED",21.6693926135672,2.36195183087728,"MORE DEPRIVED"
"10","RC_EW_1029","Lady Bay Retail Park; Nottingham (East Midlands; England)","East Midlands","England",22.9870441176471,20.3604206921413,2.62662342550575,"MORE DEPRIVED",21.6693926135672,1.31765150407989,"MORE DEPRIVED"
"11","RC_EW_1032","West Bridgford; Rushcliffe (East Midlands; England)","East Midlands","England",16.2358,20.3604206921413,-4.12462069214131,"LESS DEPRIVED",21.6693926135672,-5.43359261356716,"LESS DEPRIVED"
"12","RC_EW_1035","Radford Road; Hyson Green; Nottingham (East Midlands; England)","East Midlands","England",43.1602105263158,20.3604206921413,22.7997898341745,"MORE DEPRIVED",21.6693926135672,21.4908179127486,"MORE DEPRIVED"
"13","RC_EW_1036","Alfreton Road; Radford; Nottingham (East Midlands; England)","East Midlands","England",40.3685333333333,20.3604206921413,20.008112641192,"MORE DEPRIVED",21.6693926135672,18.6991407197662,"MORE DEPRIVED"
"14","RC_EW_1037","Castle Retail Park; Nottingham (East Midlands; England)","East Midlands","England",35.0975161290323,20.3604206921413,14.7370954368909,"MORE DEPRIVED",21.6693926135672,13.4281235154651,"MORE DEPRIVED"
"15","RC_EW_1039","Castle Marina Retail Park; Nottingham (East Midlands; England)","East Midlands","England",30.24324,20.3604206921413,9.88281930785869,"MORE DEPRIVED",21.6693926135672,8.57384738643283,"MORE DEPRIVED"
"16","RC_EW_1048","Mansfield Road; Carrington; Nottingham (East Midlands; England)","East Midlands","England",22.3386666666667,20.3604206921413,1.97824597452536,"MORE DEPRIVED",21.6693926135672,0.669274053099503,"MORE DEPRIVED"
"17","RC_EW_1068","Beeston; Broxtowe (East Midlands; England)","East Midlands","England",14.85582,20.3604206921413,-5.50460069214131,"LESS DEPRIVED",21.6693926135672,-6.81357261356717,"LESS DEPRIVED"
"18","RC_EW_1074","Riverside Retail Park; Nottingham (East Midlands; England)","East Midlands","England",22.7691666666667,20.3604206921413,2.40874597452536,"MORE DEPRIVED",21.6693926135672,1.0997740530995,"MORE DEPRIVED"
"19","RC_EW_1077","Arnold; Gedling (East Midlands; England)","East Midlands","England",21.2329705882353,20.3604206921413,0.872549896093982,"MORE DEPRIVED",21.6693926135672,-0.436422025331872,"LESS DEPRIVED"
"20","RC_EW_1078","Madford Retail Park; Gedling (East Midlands; England)","East Midlands","England",29.4325649717514,20.3604206921413,9.0721442796101,"MORE DEPRIVED",21.6693926135672,7.76317235818425,"MORE DEPRIVED"
"21","RC_EW_1082","Victoria Retail Park; Gedling (East Midlands; England)","East Midlands","England",19.7472702702703,20.3604206921413,-0.61315042187104,"LESS DEPRIVED",21.6693926135672,-1.92212234329689,"LESS DEPRIVED"
"22","RC_EW_1086","Main Street; Bulwell; Nottingham (East Midlands; England)","East Midlands","England",46.3474,20.3604206921413,25.9869793078587,"MORE DEPRIVED",21.6693926135672,24.6780073864328,"MORE DEPRIVED"
"23","RC_EW_1087","Springfield Retail Park; Nottingham (East Midlands; England)","East Midlands","England",36.3332448979592,20.3604206921413,15.9728242058179,"MORE DEPRIVED",21.6693926135672,14.663852284392,"MORE DEPRIVED"
"24","RC_EW_109","Willerby Shopping Park; East Riding of Yorkshire (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",17.6183333333333,26.0016062707266,-8.38327293739323,"LESS DEPRIVED",21.6693926135672,-4.05105928023383,"LESS DEPRIVED"
"25","RC_EW_1090","Ashgate Retail Park; Ashfield (East Midlands; England)","East Midlands","England",29.5468387096774,20.3604206921413,9.18641801753611,"MORE DEPRIVED",21.6693926135672,7.87744609611025,"MORE DEPRIVED"
"26","RC_EW_1091","Kettering; Kettering (East Midlands; England)","East Midlands","England",22.0125588235294,20.3604206921413,1.6521381313881,"MORE DEPRIVED",21.6693926135672,0.343166209962245,"MORE DEPRIVED"
"27","RC_EW_1096","Corby; Corby (East Midlands; England)","East Midlands","England",30.1139411764706,20.3604206921413,9.75352048432928,"MORE DEPRIVED",21.6693926135672,8.44454856290342,"MORE DEPRIVED"
"28","RC_EW_11","Penzance; Cornwall (South West; England)","South West","England",33.2015,18.2526558975922,14.9488441024078,"MORE DEPRIVED",21.6693926135672,11.5321073864328,"MORE DEPRIVED"
"29","RC_EW_1103","Phoenix Parkway Retail Park; Corby (East Midlands; England)","East Midlands","England",30.0508484848485,20.3604206921413,9.69042779270717,"MORE DEPRIVED",21.6693926135672,8.38145587128132,"MORE DEPRIVED"
"30","RC_EW_1107","Rushden; East Northamptonshire (East Midlands; England)","East Midlands","England",16.768,20.3604206921413,-3.59242069214131,"LESS DEPRIVED",21.6693926135672,-4.90139261356716,"LESS DEPRIVED"
"31","RC_EW_111","Anlaby Retail Park; East Riding of Yorkshire (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",24.1044363636364,26.0016062707266,-1.8971699070902,"LESS DEPRIVED",21.6693926135672,2.4350437500692,"MORE DEPRIVED"
"32","RC_EW_1112","Kettering Retail Park; Kettering (East Midlands; England)","East Midlands","England",20.38184375,20.3604206921413,0.0214230578586907,"MORE DEPRIVED",21.6693926135672,-1.28754886356716,"LESS DEPRIVED"
"33","RC_EW_1114","Wellingborough; Wellingborough (East Midlands; England)","East Midlands","England",24.2067567567568,20.3604206921413,3.84633606461545,"MORE DEPRIVED",21.6693926135672,2.53736414318959,"MORE DEPRIVED"
"34","RC_EW_1115","Castlefields Retail Park; Wellingborough (East Midlands; England)","East Midlands","England",22.6772045454545,20.3604206921413,2.31678385331324,"MORE DEPRIVED",21.6693926135672,1.00781193188738,"MORE DEPRIVED"
"35","RC_EW_1118","Market Harborough; Harborough (East Midlands; England)","East Midlands","England",9.229,20.3604206921413,-11.1314206921413,"LESS DEPRIVED",21.6693926135672,-12.4403926135672,"LESS DEPRIVED"
"36","RC_EW_1119","Weston Favell Shopping Centre; Northampton (East Midlands; England)","East Midlands","England",22.5921088435374,20.3604206921413,2.2316881513961,"MORE DEPRIVED",21.6693926135672,0.922716229970248,"MORE DEPRIVED"
"37","RC_EW_1122","Oakham; Rutland (East Midlands; England)","East Midlands","England",7.46288888888889,20.3604206921413,-12.8975318032524,"LESS DEPRIVED",21.6693926135672,-14.2065037246783,"LESS DEPRIVED"
"38","RC_EW_1125","Boston; Boston (East Midlands; England)","East Midlands","England",22.24768,20.3604206921413,1.88725930785869,"MORE DEPRIVED",21.6693926135672,0.578287386432834,"MORE DEPRIVED"
"39","RC_EW_113","Hallgate; Cottingham; East Riding of Yorkshire (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",11.0175555555556,26.0016062707266,-14.984050715171,"LESS DEPRIVED",21.6693926135672,-10.6518370580116,"LESS DEPRIVED"
"40","RC_EW_1134","Belgrave Retail Park; Fenland (East of England; England)","East of England","England",31.6568823529412,17.3482761483121,14.3086062046291,"MORE DEPRIVED",21.6693926135672,9.98748973937401,"MORE DEPRIVED"
"41","RC_EW_1135","Wisbech; Fenland (East of England; England)","East of England","England",31.5544705882353,17.3482761483121,14.2061944399232,"MORE DEPRIVED",21.6693926135672,9.88507797466813,"MORE DEPRIVED"
"42","RC_EW_1139","High Street; March; Fenland (East of England; England)","East of England","England",24.3001,17.3482761483121,6.95182385168788,"MORE DEPRIVED",21.6693926135672,2.63070738643284,"MORE DEPRIVED"
"43","RC_EW_1140","Campbells Meadow Retail Park; King's Lynn and West Norfolk (East of England; England)","East of England","England",24.9833,17.3482761483121,7.63502385168788,"MORE DEPRIVED",21.6693926135672,3.31390738643283,"MORE DEPRIVED"
"44","RC_EW_1141","King's Lynn; King's Lynn and West Norfolk (East of England; England)","East of England","England",25.0408484848485,17.3482761483121,7.69257233653637,"MORE DEPRIVED",21.6693926135672,3.37145587128132,"MORE DEPRIVED"
"45","RC_EW_1144","St. Nicholas Retail Park; King's Lynn and West Norfolk (East of England; England)","East of England","England",26.2669166666667,17.3482761483121,8.91864051835455,"MORE DEPRIVED",21.6693926135672,4.5975240530995,"MORE DEPRIVED"
"46","RC_EW_1145","High Street; Downham Market; King's Lynn and West Norfolk (East of England; England)","East of England","England",17.2875,17.3482761483121,-0.0607761483121187,"LESS DEPRIVED",21.6693926135672,-4.38189261356716,"LESS DEPRIVED"
"47","RC_EW_1149","Southgate; Sleaford; North Kesteven (East Midlands; England) - 1","East Midlands","England",15.5738888888889,20.3604206921413,-4.78653180325242,"LESS DEPRIVED",21.6693926135672,-6.09550372467828,"LESS DEPRIVED"
"48","RC_EW_1151","Newark-on-Trent; Newark and Sherwood (East Midlands; England)","East Midlands","England",22.0196666666667,20.3604206921413,1.65924597452535,"MORE DEPRIVED",21.6693926135672,0.350274053099501,"MORE DEPRIVED"
"49","RC_EW_1152","Grantham; South Kesteven (East Midlands; England)","East Midlands","England",20.4710666666667,20.3604206921413,0.110645974525355,"MORE DEPRIVED",21.6693926135672,-1.1983259469005,"LESS DEPRIVED"
"50","RC_EW_1156","Lincoln; Lincoln (East Midlands; England)","East Midlands","England",23.8972711864407,20.3604206921413,3.53685049429937,"MORE DEPRIVED",21.6693926135672,2.22787857287351,"MORE DEPRIVED"
"51","RC_EW_116","Hull; Kingston upon Hull (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",34.5456851851852,26.0016062707266,8.54407891445862,"MORE DEPRIVED",21.6693926135672,12.876292571618,"MORE DEPRIVED"
"52","RC_EW_1162","Tritton Retail Park; Lincoln (East Midlands; England)","East Midlands","England",25.3148392857143,20.3604206921413,4.95441859357297,"MORE DEPRIVED",21.6693926135672,3.64544667214712,"MORE DEPRIVED"
"53","RC_EW_1163","High Street; St Catherines; Lincoln (East Midlands; England)","East Midlands","England",25.8454,20.3604206921413,5.48497930785869,"MORE DEPRIVED",21.6693926135672,4.17600738643283,"MORE DEPRIVED"
"54","RC_EW_117","Newland Avenue; Newland; City of Kingston upon Hull (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",33.49395,26.0016062707266,7.49234372927344,"MORE DEPRIVED",21.6693926135672,11.8245573864328,"MORE DEPRIVED"
"55","RC_EW_1170","Parkway Shopping Centre; Middlesbrough (North East; England)","North East","England",35.7955037037037,28.1453156306578,7.65018807304589,"MORE DEPRIVED",21.6693926135672,14.1261110901365,"MORE DEPRIVED"
"56","RC_EW_1170","Parkway Shopping Centre; Middlesbrough (North East; England)","Yorkshire and The Humber","England",11.1085714285714,26.0016062707266,-14.8930348421551,"LESS DEPRIVED",21.6693926135672,-10.5608211849957,"LESS DEPRIVED"
"57","RC_EW_1172","Westgate; Guisborough; Redcar and Cleveland (North East; England)","North East","England",22.4688571428571,28.1453156306578,-5.67645848780067,"LESS DEPRIVED",21.6693926135672,0.799464529289978,"MORE DEPRIVED"
"58","RC_EW_1176","Whitby; Scarborough (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",27.9958333333333,26.0016062707266,1.99422706260677,"MORE DEPRIVED",21.6693926135672,6.32644071976617,"MORE DEPRIVED"
"59","RC_EW_1177","Church Street; Whitby; Scarborough (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",28.559625,26.0016062707266,2.55801872927344,"MORE DEPRIVED",21.6693926135672,6.89023238643284,"MORE DEPRIVED"
"60","RC_EW_1178","Redcar; Redcar and Cleveland (North East; England)","North East","England",29.6234814814815,28.1453156306578,1.47816585082366,"MORE DEPRIVED",21.6693926135672,7.95408886791432,"MORE DEPRIVED"
"61","RC_EW_1183","Middle Street South; Driffield; East Riding of Yorkshire (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",14.308125,26.0016062707266,-11.6934812707266,"LESS DEPRIVED",21.6693926135672,-7.36126761356716,"LESS DEPRIVED"
"62","RC_EW_1185","Malton; Ryedale (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",15.5997142857143,26.0016062707266,-10.4018919850123,"LESS DEPRIVED",21.6693926135672,-6.06967832785288,"LESS DEPRIVED"
"63","RC_EW_1186","Seamer Road Retail Park; Scarborough (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",30.5174473684211,26.0016062707266,4.51584109769449,"MORE DEPRIVED",21.6693926135672,8.84805475485389,"MORE DEPRIVED"
"64","RC_EW_1188","Market Place; Pickering; Ryedale (Yorkshire and The Humber; England)","Yorkshire and The Humber","England",14.376,26.0016062707266,-11.6256062707266,"LESS DEPRIVED",21.6693926135672,-7.29339261356717,"LESS DEPRIVED"
"65","RC_EW_1197","High Street; Yarm; Stockton-on-Tees (North East; England)","North East","England",8.4628,28.1453156306578,-19.6825156306578,"LESS DEPRIVED",21.6693926135672,-13.2065926135672,"LESS DEPRIVED"
"66","RC_EW_1200","Teesside Retail Park; Stockton-on-Tees (North East; England)","North East","England",34.0420828729282,28.1453156306578,5.89676724227036,"MORE DEPRIVED",21.6693926135672,12.372690259361,"MORE DEPRIVED"
"67","RC_EW_1201","Pavilion Shopping Centre; Stockton-on-Tees (North East; England)","North East","England",32.6323108108108,28.1453156306578,4.48699518015299,"MORE DEPRIVED",21.6693926135672,10.9629181972436,"MORE DEPRIVED"
"68","RC_EW_1203","Bishop Auckland Shopping Park; County Durham (North East; England)","North East","England",31.0366056338028,28.1453156306578,2.891290003145,"MORE DEPRIVED",21.6693926135672,9.36721302023565,"MORE DEPRIVED"
"69","RC_EW_1205","Bishop Auckland; County Durham (North East; England)","North East","England",34.9303235294118,28.1453156306578,6.78500789875395,"MORE DEPRIVED",21.6693926135672,13.2609309158446,"MORE DEPRIVED"
