,RC_ID,RC_Name,Classification,tr_retailN,Region,Country,AverageIMD,IMDRegional,diff_IMDRegional,r_IMDRegional,IMDNational,diff_IMDNational,r_IMDNational,whichCentroid
1,RC_EW_10,Heliport Retail Park; Cornwall (South West; England),Small Retail Park,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,RC_EW_1000,Thurmaston Shopping Park; Charnwood (East Midlands; England),Small Retail Park,15,East Midlands,England,19.025,20.36042069,-1.335420692,LESS DEPRIVED,21.66939261,-2.644392614,LESS DEPRIVED,Population-Weighted
3,RC_EW_1004,Melton Road; Belgrave; Leicester (East Midlands; England),Local Centre,141,East Midlands,England,25.5423,20.36042069,5.181879308,MORE DEPRIVED,21.66939261,3.872907386,MORE DEPRIVED,Population-Weighted
4,RC_EW_101,Hessle Road; Dairycoates; City of Kingston upon Hull (Yorkshire and The Humber; England),District Centre,205,Yorkshire and The Humber,England,73.25766667,26.00160627,47.2560604,MORE DEPRIVED,21.66939261,51.58827405,MORE DEPRIVED,Population-Weighted
5,RC_EW_1010,Belgrave Road; Belgrave; Leicester (East Midlands; England),District Centre,216,East Midlands,England,29.00633333,20.36042069,8.645912641,MORE DEPRIVED,21.66939261,7.33694072,MORE DEPRIVED,Population-Weighted
6,RC_EW_1013,Beaumont Shopping Centre; Leicester (East Midlands; England),Large Retail Park,47,East Midlands,England,52.44,20.36042069,32.07957931,MORE DEPRIVED,21.66939261,30.77060739,MORE DEPRIVED,Geometric
7,RC_EW_1014,Leicester; Leicester (East Midlands; England),Major Town Centre,1052,East Midlands,England,27.32828571,20.36042069,6.967865022,MORE DEPRIVED,21.66939261,5.658893101,MORE DEPRIVED,Population-Weighted
8,RC_EW_102,St. Andrews Quay Retail Park; City of Kingston upon Hull (Yorkshire and The Humber; England),Small Retail Park,21,Yorkshire and The Humber,England,78.298,26.00160627,52.29639373,MORE DEPRIVED,21.66939261,56.62860739,MORE DEPRIVED,Geometric
9,RC_EW_1023,Nottingham; Nottingham (East Midlands; England),Regional Centre,1215,East Midlands,England,33.44233333,20.36042069,13.08191264,MORE DEPRIVED,21.66939261,11.77294072,MORE DEPRIVED,Population-Weighted
10,RC_EW_1029,Lady Bay Retail Park; Nottingham (East Midlands; England),Small Retail Park,20,East Midlands,England,45.713,20.36042069,25.35257931,MORE DEPRIVED,21.66939261,24.04360739,MORE DEPRIVED,Population-Weighted
11,RC_EW_1032,West Bridgford; Rushcliffe (East Midlands; England),Town Centre,111,East Midlands,England,8.095857143,20.36042069,-12.26456355,LESS DEPRIVED,21.66939261,-13.57353547,LESS DEPRIVED,Population-Weighted
12,RC_EW_1035,Radford Road; Hyson Green; Nottingham (East Midlands; England),District Centre,195,East Midlands,England,49.0621,20.36042069,28.70167931,MORE DEPRIVED,21.66939261,27.39270739,MORE DEPRIVED,Population-Weighted
13,RC_EW_1036,Alfreton Road; Radford; Nottingham (East Midlands; England),Local Centre,149,East Midlands,England,38.74525,20.36042069,18.38482931,MORE DEPRIVED,21.66939261,17.07585739,MORE DEPRIVED,Population-Weighted
14,RC_EW_1037,Castle Retail Park; Nottingham (East Midlands; England),Small Retail Park,15,East Midlands,England,50.77316667,20.36042069,30.41274597,MORE DEPRIVED,21.66939261,29.10377405,MORE DEPRIVED,Population-Weighted
15,RC_EW_1039,Castle Marina Retail Park; Nottingham (East Midlands; England),Small Retail Park,16,East Midlands,England,23.54333333,20.36042069,3.182912641,MORE DEPRIVED,21.66939261,1.87394072,MORE DEPRIVED,Population-Weighted
16,RC_EW_1048,Mansfield Road; Carrington; Nottingham (East Midlands; England),Local Centre,128,East Midlands,England,26.06785714,20.36042069,5.707436451,MORE DEPRIVED,21.66939261,4.398464529,MORE DEPRIVED,Population-Weighted
17,RC_EW_1068,Beeston; Broxtowe (East Midlands; England),Town Centre,212,East Midlands,England,14.93190909,20.36042069,-5.428511601,LESS DEPRIVED,21.66939261,-6.737483523,LESS DEPRIVED,Population-Weighted
18,RC_EW_1074,Riverside Retail Park; Nottingham (East Midlands; England),Small Retail Park,7,East Midlands,England,8.348,20.36042069,-12.01242069,LESS DEPRIVED,21.66939261,-13.32139261,LESS DEPRIVED,Population-Weighted
19,RC_EW_1077,Arnold; Gedling (East Midlands; England),Town Centre,169,East Midlands,England,17.99845455,20.36042069,-2.361966147,LESS DEPRIVED,21.66939261,-3.670938068,LESS DEPRIVED,Population-Weighted
20,RC_EW_1078,Madford Retail Park; Gedling (East Midlands; England),Large Retail Park,51,East Midlands,England,25.12275,20.36042069,4.762329308,MORE DEPRIVED,21.66939261,3.453357386,MORE DEPRIVED,Population-Weighted
21,RC_EW_1082,Victoria Retail Park; Gedling (East Midlands; England),Small Retail Park,16,East Midlands,England,29.4535,20.36042069,9.093079308,MORE DEPRIVED,21.66939261,7.784107386,MORE DEPRIVED,Population-Weighted
22,RC_EW_1086,Main Street; Bulwell; Nottingham (East Midlands; England),Local Centre,102,East Midlands,England,47.811,20.36042069,27.45057931,MORE DEPRIVED,21.66939261,26.14160739,MORE DEPRIVED,Population-Weighted
23,RC_EW_1087,Springfield Retail Park; Nottingham (East Midlands; England),Small Retail Park,10,East Midlands,England,52.336,20.36042069,31.97557931,MORE DEPRIVED,21.66939261,30.66660739,MORE DEPRIVED,Population-Weighted
