"","RC_ID","RC_Name","Classification","imdAverage","imdNational","incomeAverage","incomeNational","employmentAverage","employmentNational","healthAverage","healthNational","educationAverage","educationNational","geographicaccessAverage","geographicaccessNational","housingAverage","housingNational","crimeAverage","crimeNational"
"1","RC_SC_1","Toll Clock Shopping Centre; Shetland Islands (Scotland)","Large Retail Park",4102.06666666667,"LESS DEPRIVED",4572.6,"LESS DEPRIVED",3989.63333333333,"LESS DEPRIVED",4098.66666666667,"LESS DEPRIVED",4223.8,"LESS DEPRIVED",3114.8,"MORE DEPRIVED",3580.53333333333,"LESS DEPRIVED",3676,"LESS DEPRIVED"
"2","RC_SC_110","Kirktown; Aberdeenshire (Scotland)","Town Centre",3423.32142857143,"MORE DEPRIVED",3557.94642857143,"LESS DEPRIVED",3606.75,"LESS DEPRIVED",4114.21428571429,"LESS DEPRIVED",2340.28571428571,"MORE DEPRIVED",3648.78571428571,"LESS DEPRIVED",3750,"LESS DEPRIVED",2978.75,"MORE DEPRIVED"
"3","RC_SC_115","Springfield Retail Park; Moray (Scotland)","Small Retail Park",3854.05555555556,"LESS DEPRIVED",3867.22222222222,"LESS DEPRIVED",3692.94444444444,"LESS DEPRIVED",3947.72222222222,"LESS DEPRIVED",3578.72222222222,"LESS DEPRIVED",3503.61111111111,"LESS DEPRIVED",4270,"LESS DEPRIVED",3417.59722222222,"MORE DEPRIVED"
"4","RC_SC_116","Elgin; Moray (Scotland)","Town Centre",3861.78571428571,"LESS DEPRIVED",3864.2619047619,"LESS DEPRIVED",3724.38095238095,"LESS DEPRIVED",3996.28571428571,"LESS DEPRIVED",3473.64285714286,"MORE DEPRIVED",3688.11904761905,"LESS DEPRIVED",4293.19047619048,"LESS DEPRIVED",3561.59523809524,"LESS DEPRIVED"
"5","RC_SC_120","Dingwall; Highland (Scotland)","Town Centre",3586.78571428571,"LESS DEPRIVED",3946.82142857143,"LESS DEPRIVED",3886.14285714286,"LESS DEPRIVED",4081.42857142857,"LESS DEPRIVED",3401.64285714286,"MORE DEPRIVED",1288.14285714286,"MORE DEPRIVED",4382.75,"LESS DEPRIVED",3855.21428571429,"LESS DEPRIVED"
"6","RC_SC_121","Telford Retail Park; Highland (Scotland)","Small Retail Park",2945.8,"MORE DEPRIVED",2935.4625,"MORE DEPRIVED",2875.6,"MORE DEPRIVED",3114.825,"MORE DEPRIVED",2688.725,"MORE DEPRIVED",3916.9,"LESS DEPRIVED",3007.0125,"MORE DEPRIVED",2672.85,"MORE DEPRIVED"
"7","RC_SC_122","Inverness; Highland (Scotland)","Major Town Centre",3761.49438202247,"LESS DEPRIVED",3807.3202247191,"LESS DEPRIVED",3737.8202247191,"LESS DEPRIVED",3888.59550561798,"LESS DEPRIVED",3550.15730337079,"LESS DEPRIVED",2942.58426966292,"MORE DEPRIVED",3915.45505617978,"LESS DEPRIVED",3714.56179775281,"LESS DEPRIVED"
"8","RC_SC_125","Inverness Retail & Leisure Park; Highland (Scotland)","Large Retail Park",3761.60240963855,"LESS DEPRIVED",3794.86746987952,"LESS DEPRIVED",3757.78915662651,"LESS DEPRIVED",3920.60240963855,"LESS DEPRIVED",3558.77108433735,"LESS DEPRIVED",2996.09638554217,"MORE DEPRIVED",3949.06626506024,"LESS DEPRIVED",3619,"LESS DEPRIVED"
"9","RC_SC_126","Inshes Retail Park; Highland (Scotland)","Small Retail Park",4120.34615384615,"LESS DEPRIVED",4107.375,"LESS DEPRIVED",4103.625,"LESS DEPRIVED",4174.92307692308,"LESS DEPRIVED",3946.34615384615,"LESS DEPRIVED",2854.13461538462,"MORE DEPRIVED",4195.55769230769,"LESS DEPRIVED",3941.07692307692,"LESS DEPRIVED"
"10","RC_SC_13","Queens Drive Retail Park; East Ayrshire (Scotland)","Large Retail Park",2769.94405594406,"MORE DEPRIVED",2820.07342657343,"MORE DEPRIVED",2842.4020979021,"MORE DEPRIVED",2601.79020979021,"MORE DEPRIVED",2882.52447552448,"MORE DEPRIVED",2514.53846153846,"MORE DEPRIVED",3911.97202797203,"LESS DEPRIVED",3488.93006993007,"LESS DEPRIVED"
