"","RC_ID","RC_Name","Country","AverageIMD","IMDNational","diff_IMDNational","r_IMDNational"
"1","RC_SC_1","Toll Clock Shopping Centre; Shetland Islands (Scotland)","Scotland",4102.06666666667,3488.5,613.566666666667,"LESS DEPRIVED"
"2","RC_SC_110","Kirktown; Aberdeenshire (Scotland)","Scotland",3423.32142857143,3488.5,-65.1785714285716,"MORE DEPRIVED"
"3","RC_SC_115","Springfield Retail Park; Moray (Scotland)","Scotland",3854.05555555556,3488.5,365.555555555556,"LESS DEPRIVED"
"4","RC_SC_116","Elgin; Moray (Scotland)","Scotland",3861.78571428571,3488.5,373.285714285714,"LESS DEPRIVED"
"5","RC_SC_120","Dingwall; Highland (Scotland)","Scotland",3586.78571428571,3488.5,98.2857142857142,"LESS DEPRIVED"
"6","RC_SC_121","Telford Retail Park; Highland (Scotland)","Scotland",2945.8,3488.5,-542.7,"MORE DEPRIVED"
"7","RC_SC_122","Inverness; Highland (Scotland)","Scotland",3761.49438202247,3488.5,272.994382022472,"LESS DEPRIVED"
"8","RC_SC_125","Inverness Retail & Leisure Park; Highland (Scotland)","Scotland",3761.60240963855,3488.5,273.102409638554,"LESS DEPRIVED"
"9","RC_SC_126","Inshes Retail Park; Highland (Scotland)","Scotland",4120.34615384615,3488.5,631.846153846154,"LESS DEPRIVED"
"10","RC_SC_13","Queens Drive Retail Park; East Ayrshire (Scotland)","Scotland",2769.94405594406,3488.5,-718.555944055944,"MORE DEPRIVED"
"11","RC_SC_134","Cuckoo Bridge Retail Park; Dumfries and Galloway (Scotland)","Scotland",3366.65384615385,3488.5,-121.846153846154,"MORE DEPRIVED"
"12","RC_SC_135","Dumfries; Dumfries and Galloway (Scotland)","Scotland",3524,3488.5,35.5,"LESS DEPRIVED"
"13","RC_SC_136","Central Retail Park; South Ayrshire (Scotland)","Scotland",3495.93939393939,3488.5,7.43939393939399,"LESS DEPRIVED"
"14","RC_SC_138","Ayr; South Ayrshire (Scotland)","Scotland",3490.47368421053,3488.5,1.97368421052624,"LESS DEPRIVED"
"15","RC_SC_14","Glencairn Retail Park; East Ayrshire (Scotland)","Scotland",2753.88343558282,3488.5,-734.616564417178,"MORE DEPRIVED"
"16","RC_SC_140","Heathfield Retail Park; South Ayrshire (Scotland)","Scotland",3510.73636363636,3488.5,22.2363636363634,"LESS DEPRIVED"
"17","RC_SC_145","Main Street; Wishaw; North Lanarkshire (Scotland)","Scotland",2147.78947368421,3488.5,-1340.71052631579,"MORE DEPRIVED"
"18","RC_SC_146","Union Street; Larkhall; South Lanarkshire (Scotland)","Scotland",2675.58823529412,3488.5,-812.911764705882,"MORE DEPRIVED"
"19","RC_SC_15","Riverway Retail Park; North Ayrshire (Scotland)","Scotland",2630.21387283237,3488.5,-858.28612716763,"MORE DEPRIVED"
"20","RC_SC_150","Hamilton Retail Park; South Lanarkshire (Scotland)","Scotland",2893.62037037037,3488.5,-594.87962962963,"MORE DEPRIVED"
"21","RC_SC_151","Hamilton; South Lanarkshire (Scotland)","Scotland",2712.08465608466,3488.5,-776.415343915344,"MORE DEPRIVED"
