"","RC_ID","RC_Name","Country","AverageIMD","IMDNational","diff_IMDNational","r_IMDNational"
"1","RC_SC_1","Toll Clock Shopping Centre; Shetland Islands (Scotland)","Scotland",3954,3488.5,465.5,"LESS DEPRIVED"
"2","RC_SC_110","Kirktown; Aberdeenshire (Scotland)","Scotland",2100.5,3488.5,-1388,"MORE DEPRIVED"
"3","RC_SC_116","Elgin; Moray (Scotland)","Scotland",3686.4,3488.5,197.9,"LESS DEPRIVED"
"4","RC_SC_120","Dingwall; Highland (Scotland)","Scotland",2022.33333333333,3488.5,-1466.16666666667,"MORE DEPRIVED"
"5","RC_SC_122","Inverness; Highland (Scotland)","Scotland",2533.81818181818,3488.5,-954.681818181818,"MORE DEPRIVED"
"6","RC_SC_13","Queens Drive Retail Park; East Ayrshire (Scotland)","Scotland",1057.5,3488.5,-2431,"MORE DEPRIVED"
"7","RC_SC_134","Cuckoo Bridge Retail Park; Dumfries and Galloway (Scotland)","Scotland",4091,3488.5,602.5,"LESS DEPRIVED"
"8","RC_SC_135","Dumfries; Dumfries and Galloway (Scotland)","Scotland",2352,3488.5,-1136.5,"MORE DEPRIVED"
"9","RC_SC_136","Central Retail Park; South Ayrshire (Scotland)","Scotland",759.833333333333,3488.5,-2728.66666666667,"MORE DEPRIVED"
"10","RC_SC_138","Ayr; South Ayrshire (Scotland)","Scotland",1915.3,3488.5,-1573.2,"MORE DEPRIVED"
"11","RC_SC_14","Glencairn Retail Park; East Ayrshire (Scotland)","Scotland",2842,3488.5,-646.5,"MORE DEPRIVED"
"12","RC_SC_145","Main Street; Wishaw; North Lanarkshire (Scotland)","Scotland",850,3488.5,-2638.5,"MORE DEPRIVED"
"13","RC_SC_146","Union Street; Larkhall; South Lanarkshire (Scotland)","Scotland",2961,3488.5,-527.5,"MORE DEPRIVED"
"14","RC_SC_15","Riverway Retail Park; North Ayrshire (Scotland)","Scotland",292.5,3488.5,-3196,"MORE DEPRIVED"
"15","RC_SC_150","Hamilton Retail Park; South Lanarkshire (Scotland)","Scotland",484,3488.5,-3004.5,"MORE DEPRIVED"
"16","RC_SC_151","Hamilton; South Lanarkshire (Scotland)","Scotland",3273.4,3488.5,-215.1,"MORE DEPRIVED"
"17","RC_SC_154","Kingsgate Retail Park; South Lanarkshire (Scotland)","Scotland",2533,3488.5,-955.5,"MORE DEPRIVED"
"18","RC_SC_1642","Old Town; City of Edinburgh (Scotland)","Scotland",4396.88461538462,3488.5,908.384615384615,"LESS DEPRIVED"
"19","RC_SC_165","Newbridge Retail Park; Fife (Scotland)","Scotland",1384.875,3488.5,-2103.625,"MORE DEPRIVED"
"20","RC_SC_168","Fife Central Retail Park; Fife (Scotland)","Scotland",4087.2,3488.5,598.7,"LESS DEPRIVED"
"21","RC_SC_169","High Street; Kirkcaldy; Fife (Scotland)","Scotland",2569,3488.5,-919.5,"MORE DEPRIVED"
"22","RC_SC_17","Paisley; Renfrewshire (Scotland)","Scotland",1698.125,3488.5,-1790.375,"MORE DEPRIVED"
"23","RC_SC_1712","Morningside Road; Morningside; City of Edinburgh (Scotland)","Scotland",5798.2,3488.5,2309.7,"LESS DEPRIVED"
"24","RC_SC_18","Paisley Leisure Park; Renfrewshire (Scotland)","Scotland",5329,3488.5,1840.5,"LESS DEPRIVED"
"25","RC_SC_187","Greenside; City of Edinburgh (Scotland)","Scotland",3836.33333333333,3488.5,347.833333333333,"LESS DEPRIVED"
"26","RC_SC_19","The Avenue Shopping Centre; East Renfrewshire (Scotland)","Scotland",4595.66666666667,3488.5,1107.16666666667,"LESS DEPRIVED"
"27","RC_SC_193","Ocean Terminal; City of Edinburgh (Scotland)","Scotland",4667,3488.5,1178.5,"LESS DEPRIVED"
"28","RC_SC_199","Bonnygate; Cupar; Fife (Scotland)","Scotland",3404,3488.5,-84.5,"MORE DEPRIVED"
"29","RC_SC_215","Fort Kinnaird Shopping Park; City of Edinburgh (Scotland)","Scotland",4086,3488.5,597.5,"LESS DEPRIVED"
"30","RC_SC_217","Cameron Toll; City of Edinburgh (Scotland)","Scotland",4423.4,3488.5,934.9,"LESS DEPRIVED"
"31","RC_SC_226","Portobello High Street; Portobello; City of Edinburgh (Scotland)","Scotland",3484.4,3488.5,-4.09999999999991,"MORE DEPRIVED"
"32","RC_SC_229","Easter Road; Abbeyhill; City of Edinburgh (Scotland)","Scotland",4255,3488.5,766.5,"LESS DEPRIVED"
"33","RC_SC_244","Stirling; Stirling (Scotland)","Scotland",4352.5,3488.5,864,"LESS DEPRIVED"
"34","RC_SC_255","Fife Leisure Park; Fife (Scotland)","Scotland",702,3488.5,-2786.5,"MORE DEPRIVED"
"35","RC_SC_257","Dunfermline; Fife (Scotland)","Scotland",2797,3488.5,-691.5,"MORE DEPRIVED"
"36","RC_SC_272","Gyle Shopping Centre; City of Edinburgh (Scotland)","Scotland",4376.5,3488.5,888,"LESS DEPRIVED"
"37","RC_SC_275","Dalry Road; Dalry; City of Edinburgh (Scotland)","Scotland",3360.125,3488.5,-128.375,"MORE DEPRIVED"
"38","RC_SC_279","Raeburn Place; Stockbridge; City of Edinburgh (Scotland)","Scotland",6027.57142857143,3488.5,2539.07142857143,"LESS DEPRIVED"
"39","RC_SC_28","Milngavie; East Dunbartonshire (Scotland)","Scotland",5198.6,3488.5,1710.1,"LESS DEPRIVED"
"40","RC_SC_280","Edinburgh City; Edinburgh (Scotland)","Scotland",5074.69230769231,3488.5,1586.19230769231,"LESS DEPRIVED"
"41","RC_SC_283","Tollcross; City of Edinburgh (Scotland)","Scotland",4446.68421052632,3488.5,958.184210526316,"LESS DEPRIVED"
"42","RC_SC_29","Quadrant Shopping Centre; North Lanarkshire (Scotland)","Scotland",2202.14285714286,3488.5,-1286.35714285714,"MORE DEPRIVED"
"43","RC_SC_3","Steòrnabhagh; Na h-Eileanan Siar (Scotland)","Scotland",2735,3488.5,-753.5,"MORE DEPRIVED"
"44","RC_SC_311","Pentland Retail Park; Midlothian (Scotland)","Scotland",3793.5,3488.5,305,"LESS DEPRIVED"
"45","RC_SC_315","Corstorphine Retail Park; City of Edinburgh (Scotland)","Scotland",4913,3488.5,1424.5,"LESS DEPRIVED"
"46","RC_SC_319","Central Retail Park; Falkirk (Scotland)","Scotland",2061,3488.5,-1427.5,"MORE DEPRIVED"
"47","RC_SC_32","Glasgow Fort Shopping Park; Glasgow City (Scotland)","Scotland",16,3488.5,-3472.5,"MORE DEPRIVED"
"48","RC_SC_322","Callendar Square Shopping Centre; Falkirk (Scotland)","Scotland",3096,3488.5,-392.5,"MORE DEPRIVED"
"49","RC_SC_328","Brook Street; Broughty Ferry; Dundee City (Scotland)","Scotland",4634.66666666667,3488.5,1146.16666666667,"LESS DEPRIVED"
"50","RC_SC_331","Kingsway West Retail Park; Dundee City (Scotland)","Scotland",4518,3488.5,1029.5,"LESS DEPRIVED"
"51","RC_SC_332","Dundee; Dundee City (Scotland)","Scotland",2204.05882352941,3488.5,-1284.44117647059,"MORE DEPRIVED"
"52","RC_SC_335","Market Street; St Andrews; Fife (Scotland)","Scotland",6423.25,3488.5,2934.75,"LESS DEPRIVED"
"53","RC_SC_336","Arbroath; Angus (Scotland)","Scotland",1322.28571428571,3488.5,-2166.21428571429,"MORE DEPRIVED"
"54","RC_SC_347","Perth; Perth and Kinross (Scotland)","Scotland",2569.85714285714,3488.5,-918.642857142857,"MORE DEPRIVED"
"55","RC_SC_348","St. Catherine's Retail Park; Perth and Kinross (Scotland)","Scotland",2337,3488.5,-1151.5,"MORE DEPRIVED"
"56","RC_SC_35","Airdrie; North Lanarkshire (Scotland)","Scotland",1121.83333333333,3488.5,-2366.66666666667,"MORE DEPRIVED"
"57","RC_SC_352","High Street; Hawick; Scottish Borders (Scotland)","Scotland",1724,3488.5,-1764.5,"MORE DEPRIVED"
"58","RC_SC_355","Galashiels; Scottish Borders (Scotland)","Scotland",2766,3488.5,-722.5,"MORE DEPRIVED"
"59","RC_SC_357","Kelso; Scottish Borders (Scotland)","Scotland",3168.5,3488.5,-320,"MORE DEPRIVED"
"60","RC_SC_36","Kilbowie; West Dunbartonshire (Scotland)","Scotland",1078.4,3488.5,-2410.1,"MORE DEPRIVED"
"61","RC_SC_368","High Street; Montrose; Angus (Scotland)","Scotland",2444.66666666667,3488.5,-1043.83333333333,"MORE DEPRIVED"
"62","RC_SC_37","St. James Retail Park; West Dunbartonshire (Scotland)","Scotland",3598,3488.5,109.5,"LESS DEPRIVED"
"63","RC_SC_373","Castle Street; Forfar; Angus (Scotland)","Scotland",1206,3488.5,-2282.5,"MORE DEPRIVED"
"64","RC_SC_38","Govan Cross Shopping Centre; Glasgow City (Scotland)","Scotland",1214.85714285714,3488.5,-2273.64285714286,"MORE DEPRIVED"
"65","RC_SC_381","Kittybrewster Retail Park; Aberdeen City (Scotland)","Scotland",3619.57142857143,3488.5,131.071428571428,"LESS DEPRIVED"
"66","RC_SC_382","Aberdeen; Aberdeen City (Scotland)","Scotland",4058.02941176471,3488.5,569.529411764706,"LESS DEPRIVED"
"67","RC_SC_389","Queens Links Leisure Park; Aberdeen City (Scotland)","Scotland",3983,3488.5,494.5,"LESS DEPRIVED"
"68","RC_SC_39","Argyle Street; Finnieston; Glasgow City (Scotland)","Scotland",4578.5,3488.5,1090,"LESS DEPRIVED"
"69","RC_SC_41","Dumbarton Road; Partick; Glasgow City (Scotland)","Scotland",4047.66666666667,3488.5,559.166666666667,"LESS DEPRIVED"
"70","RC_SC_43","Victoria Road; Govanhill; Glasgow City (Scotland)","Scotland",1484.625,3488.5,-2003.875,"MORE DEPRIVED"
"71","RC_SC_48","Byres Road; Hillhead; Glasgow City (Scotland)","Scotland",5449,3488.5,1960.5,"LESS DEPRIVED"
"72","RC_SC_54","Glasgow City, Glasgow (Scotland)","Scotland",3052.73684210526,3488.5,-435.763157894737,"MORE DEPRIVED"
"73","RC_SC_55","West End Retail Park; Glasgow City (Scotland)","Scotland",3884.11764705882,3488.5,395.617647058823,"LESS DEPRIVED"
"74","RC_SC_62","Kilmarnock Road; Shawlands; Glasgow City (Scotland)","Scotland",4671.5,3488.5,1183,"LESS DEPRIVED"
"75","RC_SC_63","Auldhouse Retail Park; Glasgow City (Scotland)","Scotland",1946,3488.5,-1542.5,"MORE DEPRIVED"
"76","RC_SC_66","intu Braehead; Renfrewshire (Scotland)","Scotland",5119,3488.5,1630.5,"LESS DEPRIVED"
"77","RC_SC_69","Silverburn Centre; Glasgow City (Scotland)","Scotland",564,3488.5,-2924.5,"MORE DEPRIVED"
"78","RC_SC_71","Springburn Shopping Centre; Glasgow City (Scotland)","Scotland",601.5,3488.5,-2887,"MORE DEPRIVED"
"79","RC_SC_77","Rutherglen Shopping Centre; South Lanarkshire (Scotland)","Scotland",2384.09090909091,3488.5,-1104.40909090909,"MORE DEPRIVED"
"80","RC_SC_8","Gallagher Shopping Park; Inverclyde (Scotland)","Scotland",184,3488.5,-3304.5,"MORE DEPRIVED"
"81","RC_SC_82","Duke Street; Camlachie; Glasgow City (Scotland)","Scotland",2790.77777777778,3488.5,-697.722222222222,"MORE DEPRIVED"
"82","RC_SC_89","Cumbernauld; North Lanarkshire (Scotland)","Scotland",1928.5,3488.5,-1560,"MORE DEPRIVED"
"83","RC_SC_90","Oban; Argyll and Bute (Scotland)","Scotland",2740.75,3488.5,-747.75,"MORE DEPRIVED"
