,RC_ID,RC_Name,Classification,imdAverage,imdNational,incomeAverage,incomeNational,employmentAverage,employmentNational,healthAverage,healthNational,educationAverage,educationNational,servicesAverage,servicesNational,housingAverage,housingNational,crimeAverage,crimeNational,environmentAverage,environmentNational
1,RC_EW_2892,High Street; Mold; Flintshire (Wales),Market Town,15.38333333,LESS DEPRIVED,16.31666667,LESS DEPRIVED,16.66666667,LESS DEPRIVED,13.78333333,LESS DEPRIVED,22.76666667,MORE DEPRIVED,7.55,LESS DEPRIVED,9.566666667,LESS DEPRIVED,21.81666667,MORE DEPRIVED,6.933333333,LESS DEPRIVED
2,RC_EW_2896,Wrecsam; Wrexham (Wales),Major Town Centre,19.12567568,LESS DEPRIVED,19.49594595,LESS DEPRIVED,17.07837838,LESS DEPRIVED,21.07297297,LESS DEPRIVED,24.18378378,MORE DEPRIVED,15.34054054,LESS DEPRIVED,16.7972973,LESS DEPRIVED,31.57432432,MORE DEPRIVED,4.885135135,LESS DEPRIVED
3,RC_EW_2898,Plas Coch Retail Park; Wrexham (Wales),Small Retail Park,19.99,LESS DEPRIVED,20.68833333,LESS DEPRIVED,18.185,LESS DEPRIVED,22.68333333,MORE DEPRIVED,25.78166667,MORE DEPRIVED,12.63166667,LESS DEPRIVED,17.55666667,LESS DEPRIVED,34.25833333,MORE DEPRIVED,4.44,LESS DEPRIVED
4,RC_EW_2911,Broughton Shopping Park; Flintshire (Wales),Large Retail Park,11.58275862,LESS DEPRIVED,10.46034483,LESS DEPRIVED,8.737931034,LESS DEPRIVED,11.60862069,LESS DEPRIVED,16.84482759,LESS DEPRIVED,9.917241379,LESS DEPRIVED,12.56896552,LESS DEPRIVED,14.82068966,LESS DEPRIVED,12.85689655,LESS DEPRIVED
5,RC_EW_2912,Deeside Retail Park; Flintshire (Wales),Large Retail Park,14.76231884,LESS DEPRIVED,14.0057971,LESS DEPRIVED,11.78405797,LESS DEPRIVED,15.46231884,LESS DEPRIVED,21.38115942,LESS DEPRIVED,11.66521739,LESS DEPRIVED,15.34782609,LESS DEPRIVED,18.26521739,LESS DEPRIVED,12.27971014,LESS DEPRIVED
6,RC_EW_2913,Flintshire Retail Park; Flintshire (Wales),Small Retail Park,20.42857143,LESS DEPRIVED,20.79285714,LESS DEPRIVED,16.76428571,LESS DEPRIVED,24.47142857,MORE DEPRIVED,27.71428571,MORE DEPRIVED,15.7,LESS DEPRIVED,19.15,LESS DEPRIVED,24.49285714,MORE DEPRIVED,9.578571429,LESS DEPRIVED
7,RC_EW_2922,High Street; Denbigh; Denbighshire (Wales),Local Centre,17.38,LESS DEPRIVED,17.9,LESS DEPRIVED,21,LESS DEPRIVED,23.02,MORE DEPRIVED,16.22,LESS DEPRIVED,8.8,LESS DEPRIVED,15.98,LESS DEPRIVED,18.24,LESS DEPRIVED,4.08,LESS DEPRIVED
8,RC_EW_2929,High Street; Prestatyn; Denbighshire (Wales),Local Centre,21.2125,LESS DEPRIVED,25.425,MORE DEPRIVED,20.9625,LESS DEPRIVED,25.3875,MORE DEPRIVED,21.85,MORE DEPRIVED,9.4375,LESS DEPRIVED,19.3,LESS DEPRIVED,25.9,MORE DEPRIVED,11.2,LESS DEPRIVED
9,RC_EW_2932,Clwyd Retail Park; Denbighshire (Wales),Small Retail Park,29.59310345,MORE DEPRIVED,35.3862069,MORE DEPRIVED,32.64827586,MORE DEPRIVED,36.52413793,MORE DEPRIVED,30.11034483,MORE DEPRIVED,14.4137931,LESS DEPRIVED,19.89310345,LESS DEPRIVED,27.30344828,MORE DEPRIVED,14.57931034,LESS DEPRIVED
10,RC_EW_2934,Rhyl; Denbighshire (Wales),Town Centre,35.73478261,MORE DEPRIVED,42.37826087,MORE DEPRIVED,40,MORE DEPRIVED,44.52173913,MORE DEPRIVED,36.75652174,MORE DEPRIVED,17.39130435,LESS DEPRIVED,20.96521739,LESS DEPRIVED,31.03043478,MORE DEPRIVED,20.44782609,LESS DEPRIVED
11,RC_EW_2938,Wellington Road; Rhyl; Denbighshire (Wales),Local Centre,50.45454545,MORE DEPRIVED,60.26363636,MORE DEPRIVED,57.99090909,MORE DEPRIVED,62.04545455,MORE DEPRIVED,51.54545455,MORE DEPRIVED,19.9,LESS DEPRIVED,34.49090909,MORE DEPRIVED,46.21818182,MORE DEPRIVED,24.06363636,MORE DEPRIVED
12,RC_EW_2939,High Street; Treffynnon; Flintshire (Wales),Local Centre,25.26,MORE DEPRIVED,28.1,MORE DEPRIVED,26.5,MORE DEPRIVED,31,MORE DEPRIVED,32.16,MORE DEPRIVED,13.48,LESS DEPRIVED,16.46,LESS DEPRIVED,30.3,MORE DEPRIVED,1.94,LESS DEPRIVED
13,RC_EW_2942,Abergele Road; Bae Colwyn; Conwy (Wales),Market Town,30.46666667,MORE DEPRIVED,36.93333333,MORE DEPRIVED,43.9,MORE DEPRIVED,27.48333333,MORE DEPRIVED,20.28333333,LESS DEPRIVED,9.4,LESS DEPRIVED,33.63333333,MORE DEPRIVED,46.16666667,MORE DEPRIVED,2.25,LESS DEPRIVED
14,RC_EW_3343,Penrhos Retail Park; Isle of Anglesey (Wales),Small Retail Park,26.73636364,MORE DEPRIVED,33.40909091,MORE DEPRIVED,31.33636364,MORE DEPRIVED,23.90909091,MORE DEPRIVED,26.95454545,MORE DEPRIVED,23.21818182,MORE DEPRIVED,12.01818182,LESS DEPRIVED,33.07272727,MORE DEPRIVED,6.3,LESS DEPRIVED
15,RC_EW_3344,Holyhead; Isle of Anglesey (Wales),Town Centre,26.73636364,MORE DEPRIVED,33.40909091,MORE DEPRIVED,31.33636364,MORE DEPRIVED,23.90909091,MORE DEPRIVED,26.95454545,MORE DEPRIVED,23.21818182,MORE DEPRIVED,12.01818182,LESS DEPRIVED,33.07272727,MORE DEPRIVED,6.3,LESS DEPRIVED
16,RC_EW_3346,High Street; Pwllheli; Gwynedd (Wales),District Centre,16.05,LESS DEPRIVED,19.95,LESS DEPRIVED,16.5,LESS DEPRIVED,12.4,LESS DEPRIVED,13.5,LESS DEPRIVED,9.45,LESS DEPRIVED,20.05,LESS DEPRIVED,23.15,MORE DEPRIVED,15.15,LESS DEPRIVED
17,RC_EW_3347,High Street; Bangor; Gwynedd (Wales),Market Town,21.41666667,LESS DEPRIVED,16.85,LESS DEPRIVED,14.9,LESS DEPRIVED,20.01666667,LESS DEPRIVED,21.03333333,LESS DEPRIVED,23.33333333,MORE DEPRIVED,45.9,MORE DEPRIVED,47.51666667,MORE DEPRIVED,11.2,LESS DEPRIVED
18,RC_EW_3352,Caernarfon; Gwynedd (Wales),Town Centre,19.575,LESS DEPRIVED,20.1375,LESS DEPRIVED,19.2625,LESS DEPRIVED,17.325,LESS DEPRIVED,17.2375,LESS DEPRIVED,27.275,MORE DEPRIVED,18.9625,LESS DEPRIVED,34.725,MORE DEPRIVED,2.15,LESS DEPRIVED
19,RC_EW_3353,Menai Retail Park; Gwynedd (Wales),Small Retail Park,15.53888889,LESS DEPRIVED,14.22777778,LESS DEPRIVED,12.42777778,LESS DEPRIVED,15.13888889,LESS DEPRIVED,12.95555556,LESS DEPRIVED,19.13888889,LESS DEPRIVED,27.40555556,MORE DEPRIVED,29.35,MORE DEPRIVED,5.777777778,LESS DEPRIVED
20,RC_EW_3360,Llandudno; Conwy (Wales),Town Centre,15.95263158,LESS DEPRIVED,16.88947368,LESS DEPRIVED,17.72105263,LESS DEPRIVED,13.56842105,LESS DEPRIVED,15.08947368,LESS DEPRIVED,15.36315789,LESS DEPRIVED,16.21052632,LESS DEPRIVED,22.62631579,MORE DEPRIVED,7.689473684,LESS DEPRIVED
21,RC_EW_3362,High Street; Conwy; Conwy (Wales),Local Centre,11.9,LESS DEPRIVED,15.96666667,LESS DEPRIVED,11.83333333,LESS DEPRIVED,7.566666667,LESS DEPRIVED,12.3,LESS DEPRIVED,10.66666667,LESS DEPRIVED,6.4,LESS DEPRIVED,16.66666667,LESS DEPRIVED,11.73333333,LESS DEPRIVED
22,RC_EW_3465,Chepstow; Monmouthshire (Wales),Market Town,8.94,LESS DEPRIVED,7.48,LESS DEPRIVED,9.12,LESS DEPRIVED,8.1,LESS DEPRIVED,7.72,LESS DEPRIVED,5.3,LESS DEPRIVED,9.1,LESS DEPRIVED,14.42,LESS DEPRIVED,22.18,MORE DEPRIVED
23,RC_EW_3470,Monnow Street; Chippenham; Monmouthshire (Wales),Market Town,15.34,LESS DEPRIVED,13.78,LESS DEPRIVED,12.92,LESS DEPRIVED,10.64,LESS DEPRIVED,15.32,LESS DEPRIVED,20.92,LESS DEPRIVED,12.66,LESS DEPRIVED,14.28,LESS DEPRIVED,40.82,MORE DEPRIVED
24,RC_EW_3560,Tredegar; Blaenau Gwent (Wales),Town Centre,34.71034483,MORE DEPRIVED,35.70344828,MORE DEPRIVED,42.06206897,MORE DEPRIVED,37.51724138,MORE DEPRIVED,34.11034483,MORE DEPRIVED,22.18275862,MORE DEPRIVED,21.64482759,LESS DEPRIVED,46.51034483,MORE DEPRIVED,22.77241379,MORE DEPRIVED
