"","RC_ID","RC_Name","Country","AverageIMD","IMDNational","diff_IMDNational","r_IMDNational"
"1","RC_EW_2892","High Street; Mold; Flintshire (Wales)","Wales",15.3833333333333,21.7158198009429,-6.33248646760957,"LESS DEPRIVED"
"2","RC_EW_2896","Wrecsam; Wrexham (Wales)","Wales",19.1256756756757,21.7158198009429,-2.59014412526723,"LESS DEPRIVED"
"3","RC_EW_2898","Plas Coch Retail Park; Wrexham (Wales)","Wales",19.99,21.7158198009429,-1.7258198009429,"LESS DEPRIVED"
"4","RC_EW_2911","Broughton Shopping Park; Flintshire (Wales)","Wales",11.5827586206897,21.7158198009429,-10.1330611802532,"LESS DEPRIVED"
"5","RC_EW_2912","Deeside Retail Park; Flintshire (Wales)","Wales",14.7623188405797,21.7158198009429,-6.95350096036319,"LESS DEPRIVED"
"6","RC_EW_2913","Flintshire Retail Park; Flintshire (Wales)","Wales",20.4285714285714,21.7158198009429,-1.28724837237148,"LESS DEPRIVED"
"7","RC_EW_2922","High Street; Denbigh; Denbighshire (Wales)","Wales",17.38,21.7158198009429,-4.3358198009429,"LESS DEPRIVED"
"8","RC_EW_2929","High Street; Prestatyn; Denbighshire (Wales)","Wales",21.2125,21.7158198009429,-0.503319800942904,"LESS DEPRIVED"
"9","RC_EW_2932","Clwyd Retail Park; Denbighshire (Wales)","Wales",29.5931034482759,21.7158198009429,7.87728364733296,"MORE DEPRIVED"
"10","RC_EW_2934","Rhyl; Denbighshire (Wales)","Wales",35.7347826086957,21.7158198009429,14.0189628077528,"MORE DEPRIVED"
"11","RC_EW_2938","Wellington Road; Rhyl; Denbighshire (Wales)","Wales",50.4545454545455,21.7158198009429,28.7387256536026,"MORE DEPRIVED"
"12","RC_EW_2939","High Street; Treffynnon; Flintshire (Wales)","Wales",25.26,21.7158198009429,3.5441801990571,"MORE DEPRIVED"
"13","RC_EW_2942","Abergele Road; Bae Colwyn; Conwy (Wales)","Wales",30.4666666666667,21.7158198009429,8.75084686572376,"MORE DEPRIVED"
"14","RC_EW_3343","Penrhos Retail Park; Isle of Anglesey (Wales)","Wales",26.7363636363636,21.7158198009429,5.02054383542073,"MORE DEPRIVED"
"15","RC_EW_3344","Holyhead; Isle of Anglesey (Wales)","Wales",26.7363636363636,21.7158198009429,5.02054383542073,"MORE DEPRIVED"
"16","RC_EW_3346","High Street; Pwllheli; Gwynedd (Wales)","Wales",16.05,21.7158198009429,-5.66581980094291,"LESS DEPRIVED"
"17","RC_EW_3347","High Street; Bangor; Gwynedd (Wales)","Wales",21.4166666666667,21.7158198009429,-0.299153134276235,"LESS DEPRIVED"
"18","RC_EW_3352","Caernarfon; Gwynedd (Wales)","Wales",19.575,21.7158198009429,-2.1408198009429,"LESS DEPRIVED"
"19","RC_EW_3353","Menai Retail Park; Gwynedd (Wales)","Wales",15.5388888888889,21.7158198009429,-6.17693091205401,"LESS DEPRIVED"
"20","RC_EW_3360","Llandudno; Conwy (Wales)","Wales",15.9526315789474,21.7158198009429,-5.76318822199553,"LESS DEPRIVED"
"21","RC_EW_3362","High Street; Conwy; Conwy (Wales)","Wales",11.9,21.7158198009429,-9.8158198009429,"LESS DEPRIVED"
"22","RC_EW_3465","Chepstow; Monmouthshire (Wales)","Wales",8.94,21.7158198009429,-12.7758198009429,"LESS DEPRIVED"
"23","RC_EW_3470","Monnow Street; Chippenham; Monmouthshire (Wales)","Wales",15.34,21.7158198009429,-6.3758198009429,"LESS DEPRIVED"
"24","RC_EW_3560","Tredegar; Blaenau Gwent (Wales)","Wales",34.7103448275862,21.7158198009429,12.9945250266433,"MORE DEPRIVED"
"25","RC_EW_3565","Cwmbrân; Torfaen (Wales)","Wales",20.7348837209302,21.7158198009429,-0.980936080012672,"LESS DEPRIVED"
"26","RC_EW_3566","Cwmbran Shopping Centre; Torfaen (Wales)","Wales",24.6010101010101,21.7158198009429,2.8851903000672,"MORE DEPRIVED"
"27","RC_EW_3567","Cwmbran Retail Park; Torfaen (Wales)","Wales",20.187037037037,21.7158198009429,-1.52878276390587,"LESS DEPRIVED"
"28","RC_EW_3569","Pont-y-pwl; Torfaen (Wales)","Wales",24.2,21.7158198009429,2.4841801990571,"MORE DEPRIVED"
"29","RC_EW_3577","Cyfarthfa Retail Park; Merthyr Tydfil (Wales)","Wales",31.5153846153846,21.7158198009429,9.79956481444171,"MORE DEPRIVED"
"30","RC_EW_3580","Merthyr Tudful; Merthyr Tydfil (Wales)","Wales",32.044,21.7158198009429,10.3281801990571,"MORE DEPRIVED"
"31","RC_EW_3588","High Street; Y Coed Duon; Caerphilly (Wales)","Wales",22.2166666666667,21.7158198009429,0.500846865723762,"MORE DEPRIVED"
"32","RC_EW_3603","Y Fenni; Monmouthshire (Wales)","Wales",16.7222222222222,21.7158198009429,-4.99359757872068,"LESS DEPRIVED"
"33","RC_EW_3604","High Street; Aberhonddu; Powys (Wales)","Wales",15.45,21.7158198009429,-6.2658198009429,"LESS DEPRIVED"
"34","RC_EW_3615","High Street; Barry; Vale of Glamorgan (Wales)","Wales",20.8,21.7158198009429,-0.915819800942902,"LESS DEPRIVED"
"35","RC_EW_3616","Barry; Vale of Glamorgan (Wales)","Wales",24.1354838709677,21.7158198009429,2.41966407002484,"MORE DEPRIVED"
"36","RC_EW_3618","Cardiff Bay Retail Park; Cardiff (Wales)","Wales",29,21.7158198009429,7.2841801990571,"MORE DEPRIVED"
"37","RC_EW_3619","Capital Retail Park; Cardiff (Wales)","Wales",28.81875,21.7158198009429,7.1029301990571,"MORE DEPRIVED"
"38","RC_EW_3620","Glebe Street; Penarth; Vale of Glamorgan (Wales)","Wales",8.16666666666667,21.7158198009429,-13.5491531342762,"LESS DEPRIVED"
"39","RC_EW_3625","Cardiff City; Cardiff (Wales)","Wales",26.1904761904762,21.7158198009429,4.47465638953329,"MORE DEPRIVED"
"40","RC_EW_3626","Cowbridge Road East; Canton; Cardiff (Wales)","Wales",27.6705882352941,21.7158198009429,5.95476843435122,"MORE DEPRIVED"
"41","RC_EW_3631","Mermaid Quay; Cardiff (Wales)","Wales",26.6215384615385,21.7158198009429,4.90571866059556,"MORE DEPRIVED"
"42","RC_EW_3644","Newport Retail Park; Newport (Wales)","Wales",36.96,21.7158198009429,15.2441801990571,"MORE DEPRIVED"
"43","RC_EW_3645","Harlech Retail Park; Newport (Wales)","Wales",26.5692307692308,21.7158198009429,4.85341096828787,"MORE DEPRIVED"
"44","RC_EW_3646","Newport; Newport (Wales)","Wales",26.3205882352941,21.7158198009429,4.60476843435121,"MORE DEPRIVED"
"45","RC_EW_3685","Ty Glas Retail Park; Cardiff (Wales)","Wales",7.74821428571429,21.7158198009429,-13.9676055152286,"LESS DEPRIVED"
"46","RC_EW_3687","Caerffili; Caerphilly (Wales)","Wales",19.074358974359,21.7158198009429,-2.64146082658393,"LESS DEPRIVED"
"47","RC_EW_3688","Castle Court Shopping Centre; Caerphilly (Wales)","Wales",17.9783783783784,21.7158198009429,-3.73744142256453,"LESS DEPRIVED"
"48","RC_EW_3689","Saegar Retail Park; Cardiff (Wales)","Wales",25.8233333333333,21.7158198009429,4.10751353239043,"MORE DEPRIVED"
