"","RC_ID","supergroupID","supergroupName","groupID","groupName"
"1","RC_EW_1004","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"2","RC_EW_101","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"3","RC_EW_1010","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"4","RC_EW_1013","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"5","RC_EW_1014","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"6","RC_EW_1023","3","Leading comparison and leisure destinations","3.1","Large regional retail and leisure destinations"
"7","RC_EW_1032","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"8","RC_EW_1035","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"9","RC_EW_1036","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"10","RC_EW_1039","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"11","RC_EW_1048","4","Traditional high streets and market towns","4.2","Indie high streets"
"12","RC_EW_1068","4","Traditional high streets and market towns","4.2","Indie high streets"
"13","RC_EW_1077","4","Traditional high streets and market towns","4.2","Indie high streets"
"14","RC_EW_1078","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"15","RC_EW_1086","4","Traditional high streets and market towns","4.2","Indie high streets"
"16","RC_EW_1091","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"17","RC_EW_1096","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"18","RC_EW_11","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"19","RC_EW_1107","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"20","RC_EW_1114","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"21","RC_EW_1118","4","Traditional high streets and market towns","4.2","Indie high streets"
"22","RC_EW_1119","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"23","RC_EW_1122","4","Traditional high streets and market towns","4.2","Indie high streets"
"24","RC_EW_1125","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"25","RC_EW_113","4","Traditional high streets and market towns","4.2","Indie high streets"
"26","RC_EW_1135","4","Traditional high streets and market towns","4.2","Indie high streets"
"27","RC_EW_1139","4","Traditional high streets and market towns","4.2","Indie high streets"
"28","RC_EW_1141","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"29","RC_EW_1145","4","Traditional high streets and market towns","4.2","Indie high streets"
"30","RC_EW_1149","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"31","RC_EW_1151","4","Traditional high streets and market towns","4.2","Indie high streets"
"32","RC_EW_1152","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"33","RC_EW_1156","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"34","RC_EW_116","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"35","RC_EW_1163","1","Local 'everyday' goods and service centres","1.1","Local urban convenience centres"
"36","RC_EW_117","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"37","RC_EW_1170","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"38","RC_EW_1172","4","Traditional high streets and market towns","4.2","Indie high streets"
"39","RC_EW_1176","4","Traditional high streets and market towns","4.2","Indie high streets"
"40","RC_EW_1177","4","Traditional high streets and market towns","4.2","Indie high streets"
"41","RC_EW_1178","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"42","RC_EW_1183","4","Traditional high streets and market towns","4.2","Indie high streets"
"43","RC_EW_1185","4","Traditional high streets and market towns","4.2","Indie high streets"
"44","RC_EW_1188","4","Traditional high streets and market towns","4.2","Indie high streets"
"45","RC_EW_1197","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"46","RC_EW_1200","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"47","RC_EW_1201","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"48","RC_EW_1205","4","Traditional high streets and market towns","4.2","Indie high streets"
"49","RC_EW_1209","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"50","RC_EW_121","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"51","RC_EW_1217","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"52","RC_EW_122","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"53","RC_EW_1230","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"54","RC_EW_1233","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"55","RC_EW_1234","2","Retail and shopping parks","2.2","Secondary retail parks and shopping centres"
"56","RC_EW_1247","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"57","RC_EW_125","4","Traditional high streets and market towns","4.2","Indie high streets"
"58","RC_EW_1252","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"59","RC_EW_1253","1","Local 'everyday' goods and service centres","1.2","District urban service centres"
"60","RC_EW_1257","4","Traditional high streets and market towns","4.2","Indie high streets"
"61","RC_EW_1262","4","Traditional high streets and market towns","4.2","Indie high streets"
"62","RC_EW_1268","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"63","RC_EW_1272","4","Traditional high streets and market towns","4.2","Indie high streets"
"64","RC_EW_1274","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"65","RC_EW_1279","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"66","RC_EW_1290","2","Retail and shopping parks","2.1","Primary shopping centres and premium destinations"
"67","RC_EW_1293","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"68","RC_EW_1304","4","Traditional high streets and market towns","4.2","Indie high streets"
"69","RC_EW_1306","4","Traditional high streets and market towns","4.2","Indie high streets"
"70","RC_EW_1309","3","Leading comparison and leisure destinations","3.2","Sub-regional retail and leisure destinations"
"71","RC_EW_1311","4","Traditional high streets and market towns","4.1","Mass and value high streets"
"72","RC_EW_1312","2","Retail and shopping parks","2.1","Primary shopping centres and premium destinations"
